GO ID	DB Object Symbol
GO:0002250	IGKV3-7
GO:0002250	IGKV1D-42
GO:0002250	IGLV4-69
GO:0002250	IGLV8-61
GO:0002250	IGLV4-60
GO:0002250	IGLV11-55
GO:0002250	IGLV10-54
GO:0002250	IGLV1-50
GO:0002250	IGLV5-48
GO:0002250	IGLV7-46
GO:0002250	IGLV5-37
GO:0002250	IGLV2-33
GO:0002250	IGLV3-22
GO:0002250	IGLV2-18
GO:0002250	IGLV3-16
GO:0002250	IGLV3-12
GO:0002250	IGLV3-10
GO:0002250	IGLV3-9
GO:0002250	IGLV4-3
GO:0002250	TRGV11
GO:0002250	TRBV7-3
GO:0002250	TRBV19
GO:0002250	TRBV20-1
GO:0002250	TRBV24-1
GO:0002250	TRBV25-1
GO:0002250	IGKV2-28
GO:0002250	TRGV2
GO:0045087	TRGV2
GO:0002250	IGKV2D-24
GO:0002250	TRGJ1
GO:0002250	IGKV2D-29
GO:0002250	IGKV1D-17
GO:0002250	IGKV1-27
GO:0002250	IGKV2D-30
GO:0002250	IGKV1-37
GO:0002250	TRAV12-2
GO:0002250	TRAV6
GO:0002250	TRAV9-1
GO:0002250	TRAV7
GO:0002250	TRAV36DV7
GO:0002250	TRAV23DV6
GO:0002250	TRAV18
GO:0002250	TRAJ3
GO:0002250	TRAJ42
GO:0002250	TRAJ31
GO:0002250	TRDJ1
GO:0071918	AQP7B
GO:0002250	IGLV5-45
GO:0002250	IGKV3D-15
GO:0002250	IGKV1D-8
GO:0002250	TRAV30
GO:0002250	TRAV27
GO:0006955	TRAV27
GO:0050830	TRAV27
GO:0002250	TRAV9-2
GO:0002250	TRAV26-1
GO:0098915	KCNE1B
GO:0071805	LOC102723475
GO:0002250	TRBV16
GO:0006368	ELOA3CP
GO:0002250	IGKV2-40
GO:0043551	P3R3URF
GO:0007060	MEIKIN
GO:0010789	MEIKIN
GO:0016321	MEIKIN
GO:0045143	MEIKIN
GO:0051754	MEIKIN
GO:0002250	TRBV17
GO:0002250	TRBV18
GO:0007015	TMSB15B
GO:0006805	CYP2D7
GO:0042178	CYP2D7
GO:0006805	CYP2D7
GO:0042178	CYP2D7
GO:0042742	DEFB131B
GO:0045087	DEFB131B
GO:0034453	CCDC187
GO:0050790	A0A096LPK6
GO:0050790	A0A096LPK6
GO:0007186	OR4N4C
GO:0050911	OR4N4C
GO:0002250	IGKV2D-26
GO:0002250	IGKV3D-11
GO:0002250	IGLV5-52
GO:0002250	IGLV3-32
GO:0002250	TRGV10
GO:0002250	TRGV1
GO:0002250	TRBV5-3
GO:0002250	TRBV6-7
GO:0002250	TRBV5-7
GO:0002250	TRBV23-1
GO:0002250	IGKV6D-21
GO:0002250	TRBJ2-6
GO:0002250	IGLJ1
GO:0002250	TRBJ2-7
GO:0002250	TRBJ2-4
GO:0002250	IGKJ1
GO:0002250	TRBJ2-2
GO:0002250	TRBJ2-5
GO:0002250	TRBJ2-1
GO:0002250	TRAV14DV4
GO:0002250	TRBV13
GO:0002250	TRBV6-6
GO:0002250	TRBV6-8
GO:0002250	TRAV8-3
GO:0002250	TRAV8-1
GO:0002250	TRBV7-1
GO:0002250	TRAV16
GO:0002250	TRAV19
GO:0007178	LY6G6E
GO:0002250	IGLV1-36
GO:0002250	TRGV5
GO:0045087	TRGV5
GO:0002250	TRBV9
GO:0002250	IGLV9-49
GO:0002250	IGKV1D-43
GO:0002250	TRBJ2-3
GO:0002250	TRAV2
GO:0002250	TRAV13-2
GO:0002250	TRAV8-2
GO:0002250	TRAV1-2
GO:0002250	TRAV10
GO:0002250	TRAV13-1
GO:0002250	TRAV3
GO:0002250	TRAV12-1
GO:0002250	TRAV1-1
GO:0002250	TRAV5
GO:0002250	TRAV8-6
GO:0002250	TRAV39
GO:0002250	TRAV38-1
GO:0002250	TRAV26-2
GO:0002250	TRAV41
GO:0002250	TRAV4
GO:0002250	TRAV12-3
GO:0002250	TRAV24
GO:0002250	TRAV34
GO:0002250	TRAV20
GO:0002250	TRAV17
GO:0002250	TRAV25
GO:0002250	TRAV22
GO:0002250	TRAV21
GO:0002250	TRAV40
GO:0002250	IGKV1D-13
GO:0002250	TRBV12-4
GO:0006986	PIGBOS1
