Gene_1	Gene_2
FZD2	DVL3
PPP1R16B	DVL3
TRIM54	DVL3
PRPF18	DVL3
PSME3	DVL3
ZNF417	DVL3
SYF2	DVL3
ZNF444	DVL3
TRIM41	DVL3
ANKRD36B	DVL3
DVL2	DVL3
CYSRT1	DVL3
PLAGL2	DVL3
CNOT7	DVL3
UTP3	DVL3
SEC61B	DVL3
CSNK2A1	DVL3
RASSF9	DVL3
PLK1	DVL3
ZNF408	DVL3
KLF3	DVL3
NTRK1	DVL3
CSNK1E	DVL3
RNF43	DVL3
ZNF512B	DVL3
PRPF3	DVL3
TCEA2	DVL3
ZSCAN21	DVL3
PIK3CB	DVL3
CBX8	DVL3
PITX1	DVL3
CEP44	DVL3
ENKD1	DVL3
HOXA5	DVL3
UBE2D2	DVL3
FGF16	DVL3
WWP1	DVL3
KAT7	DVL3
ISY1	DVL3
FARS2	DVL3
HOMER3	DVL3
SAP30L	DVL3
LRRK2	DVL3
RHOG	DVL3
CEP135	DVL3
ZBTB24	DVL3
SUV39H1	DVL3
RPS10	DVL3
CANX	DVL3
PRPS1	DVL3
KLF15	DVL3
CXXC4	DVL3
CEP19	DVL3
C8orf33	DVL3
PRKAA2	DVL3
EIF1B	DVL3
KLF4	DVL3
ZRSR2	DVL3
CLK1	DVL3
EPB41L4A	DVL3
CENPJ	DVL3
AKAP17A	DVL3
MBD1	DVL3
NDN	DVL3
MAGEB4	DVL3
ZNF552	DVL3
CEP76	DVL3
WT1	DVL3
NXF1	DVL3
WWTR1	DVL3
PCBP1	DVL3
LONRF1	DVL3
ZNF774	DVL3
ZNF837	DVL3
CRNKL1	DVL3
ZBTB8A	DVL3
RRP8	DVL3
XAB2	DVL3
TUBG1	DVL3
PRPF31	DVL3
LNX1	DVL3
PNKP	DVL3
DDX54	DVL3
ZNF648	DVL3
PCBP3	DVL3
XPO1	DVL3
SEC24B	DVL3
AGPS	DVL3
FOXK2	DVL3
SORBS3	DVL3
ZNF2	DVL3
FZD7	DVL3
GOLGA1	DVL3
HOXC5	DVL3
ANKFY1	DVL3
MMTAG2	DVL3
EIF3D	DVL3
ZNF696	DVL3
BHLHE40	DVL3
NXF2	DVL3
 NXF2B	DVL3
ZBTB26	DVL3
JPH3	DVL3
INO80B	DVL3
ZNF792	DVL3
CEP164	DVL3
PRR20E	DVL3
CCDC88A	DVL3
PLN	DVL3
ZBTB48	DVL3
TCEANC	DVL3
XPA	DVL3
KCNE3	DVL3
VANGL2	DVL3
GADD45GIP1	DVL3
ZNF71	DVL3
EYA4	DVL3
HOXC8	DVL3
PHF19	DVL3
KLHL12	DVL3
ZBTB47	DVL3
DPPA2	DVL3
LUZP4	DVL3
FOXK1	DVL3
FZD8	DVL3
ZNF165	DVL3
ZNF581	DVL3
CEP57L1	DVL3
ZNF497	DVL3
FZD4	DVL3
CCNL1	DVL3
ZNF697	DVL3
HOMEZ	DVL3
FAM13C	DVL3
EEA1	DVL3
AAK1	DVL3
PRPF38A	DVL3
CSNK1D	DVL3
RWDD2B	DVL3
MEX3B	DVL3
CEP128	DVL3
TMEM88	DVL3
ZSCAN22	DVL3
RBM15B	DVL3
YTHDC1	DVL3
THAP7	DVL3
RPL11	DVL3
ZNF699	DVL3
TSN	DVL3
TFG	DVL3
DIDO1	DVL3
ZNF319	DVL3
CDYL2	DVL3
WDR83	DVL3
TSPYL1	DVL3
ZNF264	DVL3
SHFL	DVL3
LY6H	DVL3
RASSF10	DVL3
ZNF775	DVL3
ZSCAN25	DVL3
TNFAIP8L1	DVL3
TBPL1	DVL3
KLF1	DVL3
MARK2	DVL3
KCTD7	DVL3
FZD1	DVL3
ZNF441	DVL3
TNP1	DVL3
FZD3	DVL3
MAB21L3	DVL3
LRRFIP2	DVL3
DCDC2	DVL3
CT45A10	DVL3
VAX1	DVL3
NKD1	DVL3
DVL1	DVL3
CT45A3	DVL3
FZD2	GNAO1
NEK7	GNAO1
ADORA1	GNAO1
PDYN	GNAO1
POMC	GNAO1
OPRD1	GNAO1
OPRM1	GNAO1
ITPR3	GNAO1
GNG2	GNAO1
CBX5	GNAO1
PLCB1	GNAO1
PLCB3	GNAO1
ITPR1	GNAO1
PLCB2	GNAO1
CCR5	GNAO1
HTT	GNAO1
KLHL3	GNAO1
PDE6A	GNAO1
RGS16	GNAO1
PLCB4	GNAO1
NUCB1	GNAO1
GNAT2	GNAO1
ITPR2	GNAO1
VCP	GNAO1
ADRA2A	GNAO1
FZD5	GNAO1
CALR	GNAO1
RGS1	GNAO1
S1PR5	GNAO1
GRM6	GNAO1
FZD4	GNAO1
ADRA2C	GNAO1
RGS19	GNAO1
CACNA1B	GNAO1
PDE6G	GNAO1
SCN8A	GNAO1
PDE6B	GNAO1
RGS14	GNAO1
FZD3	GNAO1
PDE6H	GNAO1
