UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
P31749	Q12778	AKT1	FOXO1
P31749	P49840	AKT1	GSK3A
P31749	P49841	AKT1	GSK3B
P31749	P56279	AKT1	TCL1A
P31749	P43403	AKT1	ZAP70
P23634	P20273	AT2B4	CD22
Q8NDB2	Q14571	BANK1	ITPR2
P56945	P46108	BCAR1	CRK
P56945	P46109	BCAR1	CRKL
P56945	P06241	BCAR1	FYN
P56945	P08631	BCAR1	HCK
P56945	P07948	BCAR1	LYN
P56945	Q14289	BCAR1	FAK2
O95999	Q9BXL7	BCL10	CAR11
O95999	Q9UDY8	BCL10	MALT1
O95999	O43318	BCL10	M3K7
P10415	O43521	BCL2	B2L11
O43521	P10415	B2L11	BCL2
P51451	P22681	BLK	CBL
P51451	P11912	BLK	CD79A
P51451	P40259	BLK	CD79B
Q8WV28	Q06187	BLNK	BTK
Q8WV28	P11912	BLNK	CD79A
Q8WV28	Q96MX0	BLNK	CKLF3
Q8WV28	P62993	BLNK	GRB2
Q8WV28	Q92918	BLNK	M4K1
Q8WV28	P16333	BLNK	NCK1
Q8WV28	P19174	BLNK	PLCG1
Q8WV28	P16885	BLNK	PLCG2
Q8WV28	P29350	BLNK	PTN6
Q8WV28	Q07889	BLNK	SOS1
Q8WV28	P15498	BLNK	VAV
Q06187	Q8WV28	BTK	BLNK
Q06187	P22681	BTK	CBL
Q06187	P15391	BTK	CD19
Q06187	Q96MX0	BTK	CKLF3
Q06187	P78347	BTK	GTF2I
Q06187	P78347	BTK	GTF2I
Q06187	Q6ZUJ8	BTK	BCAP
Q06187	P48426	BTK	PI42A
Q06187	P78356	BTK	PI42B
Q06187	Q8TBX8	BTK	PI42C
Q06187	Q99755	BTK	PI51A
Q06187	O14986	BTK	PI51B
Q06187	O60331	BTK	PI51C
Q06187	P19174	BTK	PLCG1
Q06187	P16885	BTK	PLCG2
Q7Z6A9	P15391	BTLA	CD19
Q7Z6A9	P11912	BTLA	CD79A
Q7Z6A9	P40259	BTLA	CD79B
Q7Z6A9	P01871	BTLA	IGHM
Q9BXL7	O95999	CAR11	BCL10
Q9BXL7	Q9Y6K9	CAR11	NEMO
Q9BXL7	Q9UDY8	CAR11	MALT1
Q9BXL7	O43318	CAR11	M3K7
Q9BXL7	P05771	CAR11	KPCB
P55210	P07948	CASP7	LYN
P55211	P07948	CASP9	LYN
P22681	P51451	CBL	BLK
P22681	Q06187	CBL	BTK
P22681	P46108	CBL	CRK
P22681	P46109	CBL	CRKL
P22681	P06241	CBL	FYN
