UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
P78536	P08138	ADA17	TNR16
P31749	Q92934	AKT1	BAD
P31749	P67809	AKT1	YBOX1
P23560	P16870	BDNF	CBPE
P23560	P01138	BDNF	NGF
P23560	P08138	BDNF	TNR16
P23560	P20783	BDNF	NTF3
P23560	Q16620	BDNF	NTRK2
P23560	Q99523	BDNF	SORT
P19022	P35222	CADH2	CTNB1
P19022	Q16620	CADH2	NTRK2
Q00535	Q16620	CDK5	NTRK2
Q00535	Q16620	CDK5	NTRK2
O76039	P63000	CDKL5	RAC1
P16870	P23560	CBPE	BDNF
P16220	Q6UUV9	CREB1	CRTC1
Q6UUV9	P16220	CRTC1	CREB1
P35222	P19022	CTNB1	CADH2
P35222	P04629	CTNB1	NTRK1
P35222	Q16620	CTNB1	NTRK2
P35222	Q16288	CTNB1	NTRK3
Q12959	P42261	DLG1	GRIA1
Q8IZD9	P06241	DOCK3	FYN
Q9P104	Q16620	DOK5	NTRK2
Q8WU20	P62993	FRS2	GRB2
Q8WU20	Q06124	FRS2	PTN11
O43559	P62993	FRS3	GRB2
O43559	Q06124	FRS3	PTN11
P06241	Q8IZD9	FYN	DOCK3
P06241	Q16620	FYN	NTRK2
P28472	P63244	GBRB3	RACK1
P28472	P67775	GBRB3	PP2AA
P63244	P28472	RACK1	GBRB3
P62993	Q8WU20	GRB2	FRS2
P62993	O43559	GRB2	FRS3
P62993	Q06124	GRB2	PTN11
P62993	O14492	GRB2	SH2B2
P62993	P98077	GRB2	SHC2
P62993	Q92529	GRB2	SHC3
P62993	Q6S5L8	GRB2	SHC4
P42261	Q12959	GRIA1	DLG1
P42262	Q9Y3R0	GRIA2	GRIP1
P42262	P46459	GRIA2	NSF
P42263	Q9Y3R0	GRIA3	GRIP1
Q9Y3R0	P42262	GRIP1	GRIA2
Q9Y3R0	P42263	GRIP1	GRIA3
P35568	P27986	IRS1	P85A
P35568	O00459	IRS1	P85B
Q9Y4H2	P27986	IRS2	P85A
Q9Y4H2	O00459	IRS2	P85B
P22001	Q92529	KCNA3	SHC3
Q8IVT5	P28482	KSR1	MK01
Q8IVT5	P27361	KSR1	MK03
Q96FE5	Q16620	LIGO1	NTRK2
P28482	Q8IVT5	MK01	KSR1
P28482	P27361	MK01	MK03
P27361	Q8IVT5	MK03	KSR1
P27361	P28482	MK03	MK01
P27361	P17600	MK03	SYN1
P42345	Q13541	MTOR	4EBP1
P42345	P23443	MTOR	KS6B1
P13591	Q16620	NCAM1	NTRK2
P16333	Q16620	NCK1	NTRK2
O43639	Q16620	NCK2	NTRK2
P01138	P23560	NGF	BDNF
P08138	P23560	TNR16	BDNF
P08138	Q9Y4K3	TNR16	TRAF6
P46459	P42262	NSF	GRIA2
P20783	P23560	NTF3	BDNF
P04629	P35222	NTRK1	CTNB1
Q16620	P23560	NTRK2	BDNF
Q16620	P19022	NTRK2	CADH2
Q16620	Q00535	NTRK2	CDK5
Q16620	Q00535	NTRK2	CDK5
Q16620	P35222	NTRK2	CTNB1
Q16620	P35222	NTRK2	CTNB1
Q16620	Q9P104	NTRK2	DOK5
Q16620	Q9P104	NTRK2	DOK5
Q16620	P06241	NTRK2	FYN
Q16620	P22001	NTRK2	KCNA3
Q16620	Q96FE5	NTRK2	LIGO1
Q16620	P13591	NTRK2	NCAM1
Q16620	P13591	NTRK2	NCAM1
Q16620	P16333	NTRK2	NCK1
Q16620	O43639	NTRK2	NCK2
Q16620	P19174	NTRK2	PLCG1
Q16620	Q06124	NTRK2	PTN11
Q16620	P10586	NTRK2	PTPRF
Q16620	Q96S59	NTRK2	RANB9
Q16620	O14492	NTRK2	SH2B2
Q16620	P29353	NTRK2	SHC1
Q16620	P98077	NTRK2	SHC2
Q16620	Q92529	NTRK2	SHC3
Q16620	Q6S5L8	NTRK2	SHC4
Q16620	Q6S5L8	NTRK2	SHC4
Q16620	Q13501	NTRK2	SQSTM
Q16620	Q13009	NTRK2	TIAM1
Q16620	Q13009	NTRK2	TIAM1
Q16620	Q9Y4K3	NTRK2	TRAF6
Q16620	P52735	NTRK2	VAV2
Q16620	P52735	NTRK2	VAV2
Q16620	Q9UKW4	NTRK2	VAV3
Q16288	P35222	NTRK3	CTNB1
O15530	Q15418	PDPK1	KS6A1
O15530	P51812	PDPK1	KS6A3
P27986	P35568	P85A	IRS1
P27986	Q9Y4H2	P85A	IRS2
P27986	O00459	P85A	P85B
O00459	P35568	P85B	IRS1
O00459	Q9Y4H2	P85B	IRS2
O00459	P27986	P85B	P85A
P19174	Q16620	PLCG1	NTRK2
P67775	P28472	PP2AA	GBRB3
P67775	P28472	PP2AA	GBRB3
Q06124	Q8WU20	PTN11	FRS2
Q06124	O43559	PTN11	FRS3
Q06124	P62993	PTN11	GRB2
Q06124	Q16620	PTN11	NTRK2
Q06124	P78324	PTN11	SHPS1
P10586	Q16620	PTPRF	NTRK2
P63000	O76039	RAC1	CDKL5
P63000	Q13009	RAC1	TIAM1
Q96S59	Q16620	RANB9	NTRK2
P51812	Q92934	KS6A3	BAD
O75582	P16220	KS6A5	CREB1
P23443	P62753	KS6B1	RS6
O14492	P62993	SH2B2	GRB2
P29353	Q16620	SHC1	NTRK2
P98077	P62993	SHC2	GRB2
P98077	Q16620	SHC2	NTRK2
Q92529	P62993	SHC3	GRB2
