UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
P35626	P34998	ARBK2	CRFR1
P35626	P62873	ARBK2	GBB1
P35626	P62879	ARBK2	GBB2
P35626	P16520	ARBK2	GBB3
P35626	O14775	ARBK2	GNB5
P32121	P34998	ARRB2	CRFR1
P06850	P24387	CRF	CRHBP
P06850	P34998	CRF	CRFR1
P06850	Q13324	CRF	CRFR2
P24387	P06850	CRHBP	CRF
P34998	P35626	CRFR1	ARBK2
P34998	P32121	CRFR1	ARRB2
P34998	P06850	CRFR1	CRF
P34998	P29992	CRFR1	GNA11
P34998	P63096	CRFR1	GNAI1
P34998	P04899	CRFR1	GNAI2
P34998	P09471	CRFR1	GNAO
P34998	O95467	CRFR1	GNAS3
P34998	P43250	CRFR1	GRK6
Q13324	P06850	CRFR2	CRF
P35222	P15884	CTNB1	ITF2
P29992	P34998	GNA11	CRFR1
P63096	P34998	GNAI1	CRFR1
P04899	P34998	GNAI2	CRFR1
P09471	P34998	GNAO	CRFR1
O95467	P34998	GNAS3	CRFR1
P62873	P35626	GBB1	ARBK2
P62873	P62879	GBB1	GBB2
P62873	P16520	GBB1	GBB3
P62873	O14775	GBB1	GNB5
P62879	P35626	GBB2	ARBK2
P62879	P62873	GBB2	GBB1
P62879	P16520	GBB2	GBB3
P62879	O14775	GBB2	GNB5
P16520	P35626	GBB3	ARBK2
P16520	P62873	GBB3	GBB1
P16520	P62879	GBB3	GBB2
P16520	O14775	GBB3	GNB5
O14775	P35626	GNB5	ARBK2
O14775	P62873	GNB5	GBB1
O14775	P62879	GNB5	GBB2
O14775	P16520	GNB5	GBB3
P43250	P34998	GRK6	CRFR1
Q15596	P22736	NCOA2	NR4A1
Q15596	Q13263	NCOA2	TIF1B
P19838	Q04206	NFKB1	TF65
P22736	Q15596	NR4A1	NCOA2
P22736	O60806	NR4A1	TBX19
P22736	Q13263	NR4A1	TIF1B
Q04206	P19838	TF65	NFKB1
O60806	P22736	TBX19	NR4A1
P15884	P35222	ITF2	CTNB1
Q13263	Q15596	TIF1B	NCOA2
Q13263	P22736	TIF1B	NR4A1
