UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
Q8IZP0	P22681	ABI1	CBL
Q8IZP0	Q12929	ABI1	EPS8
P62736	P36542	ACTA	ATPG
P62736	P22681	ACTA	CBL
P62736	Q13191	ACTA	CBLB
P62736	P01133	ACTA	EGF
P62736	P00533	ACTA	EGFR
P62736	Q9UJM3	ACTA	ERRFI
P62736	P62993	ACTA	GRB2
P62736	P00403	ACTA	COX2
P62736	P27986	ACTA	P85A
P62736	O00459	ACTA	P85B
P62736	P29353	ACTA	SHC1
P62736	P62316	ACTA	SMD2
P62736	Q07889	ACTA	SOS1
P62736	Q07890	ACTA	SOS2
P62736	P0CG47	ACTA	UBB
P62736	P52735	ACTA	VAV2
P62736	P63104	ACTA	1433Z
O43707	P19838	ACTN4	NFKB1
O43707	Q04206	ACTN4	TF65
P78536	P10586	ADA17	PTPRF
P25098	P00533	ARBK1	EGFR
P31749	Q6P1N0	AKT1	C2D1A
P31749	P00533	AKT1	EGFR
P31749	Q12778	AKT1	FOXO1
P31749	P98177	AKT1	FOXO4
P31749	O15530	AKT1	PDPK1
P31749	P04049	AKT1	RAF1
P31749	P42224	AKT1	STAT1
P07355	Q06124	ANXA2	PTN11
O95782	P63010	AP2A1	AP2B1
O95782	P53680	AP2A1	AP2S1
O95782	Q13191	AP2A1	CBLB
O95782	P13987	AP2A1	CD59
O95782	P00533	AP2A1	EGFR
O95782	Q9Y6I3	AP2A1	EPN1
O95782	P58107	AP2A1	EPIPL
O95782	P42566	AP2A1	EPS15
O95782	P62993	AP2A1	GRB2
O95782	Q16695	AP2A1	H31T
O95782	P46940	AP2A1	IQGA1
O95782	Q04695	AP2A1	K1C17
O95782	P05783	AP2A1	K1C18
O95782	P08729	AP2A1	K2C7
O95782	P05787	AP2A1	K2C8
O95782	Q6WCQ1	AP2A1	MPRIP
O95782	Q15149	AP2A1	PLEC
O95782	Q06124	AP2A1	PTN11
O95782	Q9H0H5	AP2A1	RGAP1
O95782	P29353	AP2A1	SHC1
O95782	Q2TAY7	AP2A1	SMU1
O95782	P62316	AP2A1	SMD2
O95782	Q07889	AP2A1	SOS1
O95782	P52735	AP2A1	VAV2
O95782	Q9UKW4	AP2A1	VAV3
P63010	O95782	AP2B1	AP2A1
P63010	P53680	AP2B1	AP2S1
P63010	Q13191	AP2B1	CBLB
P63010	P13987	AP2B1	CD59
P63010	P00533	AP2B1	EGFR
P63010	P58107	AP2B1	EPIPL
P63010	P62993	AP2B1	GRB2
P63010	Q16695	AP2B1	H31T
P63010	P46940	AP2B1	IQGA1
P63010	Q04695	AP2B1	K1C17
P63010	P05783	AP2B1	K1C18
P63010	P08729	AP2B1	K2C7
P63010	P05787	AP2B1	K2C8
P63010	Q6WCQ1	AP2B1	MPRIP
P63010	Q15149	AP2B1	PLEC
P63010	Q06124	AP2B1	PTN11
P63010	Q9H0H5	AP2B1	RGAP1
P63010	P29353	AP2B1	SHC1
P63010	Q2TAY7	AP2B1	SMU1
P63010	P62316	AP2B1	SMD2
P63010	Q07889	AP2B1	SOS1
P63010	P52735	AP2B1	VAV2
P63010	Q9UKW4	AP2B1	VAV3
P53680	O95782	AP2S1	AP2A1
P53680	P63010	AP2S1	AP2B1
P53680	Q13191	AP2S1	CBLB
P53680	P13987	AP2S1	CD59
P53680	P00533	AP2S1	EGFR
P53680	P58107	AP2S1	EPIPL
P53680	P62993	AP2S1	GRB2
P53680	Q16695	AP2S1	H31T
P53680	P46940	AP2S1	IQGA1
P53680	Q04695	AP2S1	K1C17
P53680	P05783	AP2S1	K1C18
P53680	P08729	AP2S1	K2C7
P53680	P05787	AP2S1	K2C8
P53680	Q6WCQ1	AP2S1	MPRIP
P53680	Q15149	AP2S1	PLEC
P53680	Q06124	AP2S1	PTN11
P53680	Q9H0H5	AP2S1	RGAP1
P53680	P29353	AP2S1	SHC1
P53680	Q2TAY7	AP2S1	SMU1
P53680	P62316	AP2S1	SMD2
P53680	Q07889	AP2S1	SOS1
P53680	P52735	AP2S1	VAV2
P53680	Q9UKW4	AP2S1	VAV3
Q9UKG1	O94776	DP13A	MTA2
Q9UKG1	Q16576	DP13A	RBBP7
Q8NEU8	O94776	DP13B	MTA2
Q8NEU8	Q16576	DP13B	RBBP7
P10398	Q02750	ARAF	MP2K1
P18085	P00533	ARF4	EGFR
Q9ULH1	Q8NFH8	ASAP1	REPS2
Q9ULH1	Q96B97	ASAP1	SH3K1
P36542	P62736	ATPG	ACTA
P36542	P22681	ATPG	CBL
P36542	Q13191	ATPG	CBLB
P36542	P01133	ATPG	EGF
P36542	P00533	ATPG	EGFR
P36542	Q9UJM3	ATPG	ERRFI
P36542	P62993	ATPG	GRB2
P36542	P00403	ATPG	COX2
P36542	P27986	ATPG	P85A
P36542	O00459	ATPG	P85B
P36542	P29353	ATPG	SHC1
P36542	P62316	ATPG	SMD2
P36542	Q07889	ATPG	SOS1
P36542	Q07890	ATPG	SOS2
P36542	P0CG47	ATPG	UBB
P36542	P52735	ATPG	VAV2
P36542	P63104	ATPG	1433Z
Q99700	P00533	ATX2	EGFR
P15056	P46940	BRAF	IQGA1
P15056	P01116	BRAF	RASK
P15056	P04049	BRAF	RAF1
Q9UQM7	P00533	KCC2A	EGFR
P55211	P28482	CASP9	MK01
P55211	P27361	CASP9	MK03
Q03135	P12830	CAV1	CADH1
Q03135	Q05193	CAV1	DYN1
Q03135	P00533	CAV1	EGFR
Q03135	Q14451	CAV1	GRB7
Q03135	P28482	CAV1	MK01
Q03135	P27361	CAV1	MK03
Q03135	Q13393	CAV1	PLD1
Q03135	Q05397	CAV1	FAK1
Q03135	P12931	CAV1	SRC
P51636	P16333	CAV2	NCK1
P51636	P20936	CAV2	RASA1
P51636	P12931	CAV2	SRC
P22681	Q8IZP0	CBL	ABI1
P22681	P62736	CBL	ACTA
P22681	P36542	CBL	ATPG
P22681	Q13191	CBL	CBLB
P22681	P46108	CBL	CRK
P22681	P46109	CBL	CRKL
P22681	P01133	CBL	EGF
P22681	P00533	CBL	EGFR
P22681	P00533	CBL	EGFR
P22681	Q9UJM3	CBL	ERRFI
P22681	P62993	CBL	GRB2
P22681	P00403	CBL	COX2
P22681	P27986	CBL	P85A
P22681	O00459	CBL	P85B
P22681	P19174	CBL	PLCG1
P22681	Q96B97	CBL	SH3K1
P22681	P29353	CBL	SHC1
P22681	P62316	CBL	SMD2
P22681	Q07889	CBL	SOS1
P22681	Q07890	CBL	SOS2
P22681	O43597	CBL	SPY2
P22681	P0CG47	CBL	UBB
P22681	P52735	CBL	VAV2
P22681	P63104	CBL	1433Z
Q13191	P62736	CBLB	ACTA
Q13191	O95782	CBLB	AP2A1
Q13191	P63010	CBLB	AP2B1
Q13191	P53680	CBLB	AP2S1
Q13191	P36542	CBLB	ATPG
Q13191	P22681	CBLB	CBL
Q13191	P13987	CBLB	CD59
Q13191	P01133	CBLB	EGF
Q13191	P00533	CBLB	EGFR
Q13191	P00533	CBLB	EGFR
Q13191	P58107	CBLB	EPIPL
