UniProtID	Gene_name
Q15349	KS6A2
Q99700	ATX2
P01112	RASH
Q05397	FAK1
Q8NFM7	I17RD
P18846	ATF1
O14939	PLD2
Q03135	CAV1
Q13191	CBLB
Q6WCQ1	MPRIP
P40763	STAT3
P15498	VAV
P0CG47	UBB
O75955	FLOT1
Q15139	KPCD1
Q05209	PTN12
O15492	RGS16
Q9H706	GARE1
Q9Y2U5	M3K2
Q2TAY7	SMU1
Q06190	P2R3A
P21860	ERBB3
P10644	KAP0
Q15796	SMAD2
P22681	CBL
O14964	HGS
P18085	ARF4
P42338	PK3CB
O14543	SOCS3
P42229	STA5A
O14733	MP2K7
P48736	PK3CG
Q04206	TF65
Q9UKW4	VAV3
P28324	ELK4
O43255	SIAH2
P10398	ARAF
P08047	SP1
P54829	PTN5
P46934	NEDD4
O60716	CTND1
Q14449	GRB14
Q99962	SH3G2
Q13163	MP2K5
P20339	RAB5A
P17252	KPCA
P58107	EPIPL
Q9Y6X2	PIAS3
P61764	STXB1
O95782	AP2A1
P05783	K1C18
P04626	ERBB2
P04049	RAF1
P41743	KPCI
Q16695	H31T
P98177	FOXO4
O00291	HIP1
P11234	RALB
P10586	PTPRF
Q15583	TGIF1
P36542	ATPG
P12830	CADH1
P17535	JUND
Q8IVT5	KSR1
O15530	PDPK1
P42224	STAT1
Q9Y6R4	M3K4
Q00169	PIPNA
O43707	ACTN4
Q13164	MK07
Q06124	PTN11
Q15025	TNIP1
Q15256	PTPRR
Q14289	FAK2
P20936	RASA1
O00401	WASL
Q9H4A3	WNK1
P51636	CAV2
Q13547	HDAC1
Q07890	SOS2
P51812	KS6A3
Q12967	GNDS
P62316	SMD2
P42566	EPS15
P23458	JAK1
P19419	ELK1
Q13480	GAB1
P42345	MTOR
Q9H3S7	PTN23
Q16513	PKN2
O15524	SOCS1
P01106	MYC
P63010	AP2B1
O14929	HAT1
P28482	MK01
P49715	CEBPA
P18031	PTN1
Q9Y6I3	EPN1
Q92738	US6NL
Q9Y6Q9	NCOA3
P46734	MP2K3
P00533	EGFR
Q15149	PLEC
Q05513	KPCZ
P56945	BCAR1
O75582	KS6A5
Q9NP31	SH22A
O14593	RFXK
Q13393	PLD1
Q12778	FOXO1
P10911	MCF2
P62736	ACTA
O75312	ZPR1
Q00535	CDK5
Q15311	RBP1
O43559	FRS3
P31946	1433B
Q16539	MK14
Q13363	CTBP1
Q8IZP0	ABI1
P17676	CEBPB
P05412	JUN
P34932	HSP74
Q13546	RIPK1
P31749	AKT1
P13688	CEAM1
O14974	MYPT1
O75886	STAM2
P05129	KPCG
Q13233	M3K1
Q9H0H5	RGAP1
P25098	ARBK1
P49023	PAXI
Q05193	DYN1
P63000	RAC1
P11233	RALA
O00750	P3C2B
Q8NFH8	REPS2
O15357	SHIP2
Q8N5H7	SH2D3
P78536	ADA17
Q16576	RBBP7
O00459	P85B
Q96J02	ITCH
Q9P212	PLCE1
Q9ULV8	CBLC
Q96D71	REPS1
Q04695	K1C17
P30086	PEBP1
Q13671	RIN1
P63104	1433Z
P16220	CREB1
P00403	COX2
Q13882	PTK6
O75368	SH3L1
P46109	CRKL
P51692	STA5B
Q9Y2X7	GIT1
P05787	K2C8
P55211	CASP9
P42336	PK3CA
O43639	NCK2
P52735	VAV2
P84022	SMAD3
Q07889	SOS1
P08729	K2C7
Q02750	MP2K1
Q8NEU8	DP13B
O60496	DOK2
P29353	SHC1
O43597	SPY2
P45983	MK08
O14901	KLF11
P19174	PLCG1
P53680	AP2S1
Q9UJM3	ERRFI
P36507	MP2K2
Q99759	M3K3
Q9P0J0	NDUAD
P05771	KPCB
Q99963	SH3G3
Q9UBC2	EP15R
Q12929	EPS8
P01116	RASK
Q99558	M3K14
P27361	MK03
P41240	CSK
Q92625	ANS1A
O60674	JAK2
O95630	STABP
P37840	SYUA
P46940	IQGA1
Q05655	KPCD
Q9ULH1	ASAP1
Q9UQC2	GAB2
P17302	CXA1
Q13153	PAK1
P16333	NCK1
Q07912	ACK1
P29350	PTN6
Q13322	GRB10
Q14254	FLOT2
P60953	CDC42
Q6R327	RICTR
Q6P1N0	C2D1A
Q14451	GRB7
P46108	CRK
Q9UQM7	KCC2A
Q96B97	SH3K1
P01100	FOS
P01133	EGF
P68104	EF1A1
P62993	GRB2
P15056	BRAF
Q15418	KS6A1
Q8WU20	FRS2
P12931	SRC
Q92918	M4K1
P62834	RAP1A
P27986	P85A
O15162	PLS1
Q92569	P55G
O94776	MTA2
P13987	CD59
Q16667	CDKN3
Q07666	KHDR1
Q9UKG1	DP13A
O00329	PK3CD
P07355	ANXA2
P19838	NFKB1
P42858	HD
