UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
P18847	P84022	ATF3	SMAD3
P24941	Q02363	CDK2	ID2
P24941	Q02535	CDK2	ID3
P19419	P41134	ELK1	ID1
P19419	Q02363	ELK1	ID2
P19419	Q02535	ELK1	ID3
P41970	Q02363	ELK3	ID2
P28324	P41134	ELK4	ID1
P28324	Q02363	ELK4	ID2
P28324	Q02535	ELK4	ID3
Q14469	P41134	HES1	ID1
Q14469	Q02363	HES1	ID2
Q14469	Q02535	HES1	ID3
Q14469	P47928	HES1	ID4
P41134	P19419	ID1	ELK1
P41134	P28324	ID1	ELK4
P41134	Q14469	ID1	HES1
P41134	Q16666	ID1	IF16
P41134	P13349	ID1	MYF5
P41134	P23409	ID1	MYF6
P41134	P15172	ID1	MYOD1
P41134	P15173	ID1	MYOG
P41134	P55036	ID1	PSMD4
P41134	Q99081	ID1	HTF4
P41134	P15923	ID1	TFE2
P41134	Q9NQB0	ID1	TF7L2
Q02363	P19419	ID2	ELK1
Q02363	P41970	ID2	ELK3
Q02363	P28324	ID2	ELK4
Q02363	Q14469	ID2	HES1
Q02363	Q16666	ID2	IF16
Q02363	P13349	ID2	MYF5
Q02363	P23409	ID2	MYF6
Q02363	P15172	ID2	MYOD1
Q02363	P15173	ID2	MYOG
Q02363	Q02962	ID2	PAX2
Q02363	Q02548	ID2	PAX5
Q02363	Q06710	ID2	PAX8
Q02363	P06400	ID2	RB
Q02363	P28749	ID2	RBL1
Q02363	Q08999	ID2	RBL2
Q02363	P36956	ID2	SRBP1
Q02363	Q99081	ID2	HTF4
Q02363	P15923	ID2	TFE2
Q02363	Q9NQB0	ID2	TF7L2
Q02535	P19419	ID3	ELK1
Q02535	P28324	ID3	ELK4
Q02535	Q14469	ID3	HES1
Q02535	Q16666	ID3	IF16
Q02535	P13349	ID3	MYF5
Q02535	P23409	ID3	MYF6
Q02535	P15172	ID3	MYOD1
Q02535	P15173	ID3	MYOG
Q02535	Q02548	ID3	PAX5
Q02535	P36956	ID3	SRBP1
Q02535	Q99081	ID3	HTF4
Q02535	Q9NQB0	ID3	TF7L2
P47928	Q14469	ID4	HES1
P47928	P15172	ID4	MYOD1
P47928	Q9NQB0	ID4	TF7L2
Q16666	P41134	IF16	ID1
Q16666	Q02363	IF16	ID2
Q16666	Q02535	IF16	ID3
P13349	P41134	MYF5	ID1
P13349	Q02363	MYF5	ID2
P13349	Q02535	MYF5	ID3
P23409	P41134	MYF6	ID1
P23409	Q02363	MYF6	ID2
P23409	Q02535	MYF6	ID3
P15172	P41134	MYOD1	ID1
P15172	Q02363	MYOD1	ID2
P15172	Q02535	MYOD1	ID3
P15172	P47928	MYOD1	ID4
P15172	P55036	MYOD1	PSMD4
P15173	P41134	MYOG	ID1
P15173	Q02363	MYOG	ID2
P15173	Q02535	MYOG	ID3
Q02962	Q02363	PAX2	ID2
Q02548	Q02363	PAX5	ID2
Q02548	Q02535	PAX5	ID3
Q06710	Q02363	PAX8	ID2
P55036	P41134	PSMD4	ID1
P55036	P15172	PSMD4	MYOD1
P55036	P15923	PSMD4	TFE2
P06400	Q02363	RB	ID2
P28749	Q02363	RBL1	ID2
Q08999	Q02363	RBL2	ID2
P84022	P18847	SMAD3	ATF3
P36956	Q02363	SRBP1	ID2
P36956	Q02535	SRBP1	ID3
Q99081	P41134	HTF4	ID1
Q99081	Q02363	HTF4	ID2
Q99081	Q02535	HTF4	ID3
P15923	P41134	TFE2	ID1
P15923	Q02363	TFE2	ID2
P15923	P55036	TFE2	PSMD4
Q9NQB0	P41134	TF7L2	ID1
Q9NQB0	Q02363	TF7L2	ID2
Q9NQB0	Q02535	TF7L2	ID3
Q9NQB0	P47928	TF7L2	ID4
