UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
P06241	P62993	FYN	GRB2
P06241	P40189	FYN	IL6RB
P06241	O60674	FYN	JAK2
P62993	P06241	GRB2	FYN
P62993	P40189	GRB2	IL6RB
P62993	O60674	GRB2	JAK2
P62993	Q06124	GRB2	PTN11
P01112	P04049	RASH	RAF1
P20809	Q14626	IL11	I11RA
P20809	P40189	IL11	IL6RB
Q14626	P20809	I11RA	IL11
Q14626	P40189	I11RA	IL6RB
P40189	P06241	IL6RB	FYN
P40189	P62993	IL6RB	GRB2
P40189	P20809	IL6RB	IL11
P40189	Q14626	IL6RB	I11RA
P40189	O60674	IL6RB	JAK2
P40189	Q06124	IL6RB	PTN11
O60674	P06241	JAK2	FYN
O60674	P62993	JAK2	GRB2
O60674	P40189	JAK2	IL6RB
O60674	P27986	JAK2	P85A
O60674	O00459	JAK2	P85B
O60674	Q15257	JAK2	PTPA
O60674	Q06124	JAK2	PTN11
O60674	P07947	JAK2	YES
P27986	O60674	P85A	JAK2
P27986	O00459	P85A	P85B
O00459	O60674	P85B	JAK2
O00459	P27986	P85B	P85A
Q15257	O60674	PTPA	JAK2
Q06124	P62993	PTN11	GRB2
Q06124	P40189	PTN11	IL6RB
Q06124	O60674	PTN11	JAK2
P04049	P01112	RAF1	RASH
P07947	O60674	YES	JAK2
