UniProtID	Gene_name
Q05397	FAK1
Q16695	H31T
P42336	PK3CA
P19838	NFKB1
Q07889	SOS1
P31785	IL2RG
Q92793	CBP
P16885	PLCG2
P07332	FES
O60496	DOK2
P29353	SHC1
Q71DI3	H32
P15336	ATF2
Q07817	B2CL1
P35225	IL13
P52333	JAK3
Q16539	MK14
P19174	PLCG1
P17676	CEBPB
P43405	KSYK
Q06124	PTN11
P31749	AKT1
P20936	RASA1
P35626	ARBK2
Q7KZF4	SND1
O60674	JAK2
P14921	ETS1
Q9UQC2	GAB2
Q9Y4H2	IRS2
P22681	CBL
Q92934	BAD
O00329	PK3CD
P25942	TNR5
P29350	PTN6
P23443	KS6B1
O14543	SOCS3
P23458	JAK1
P19419	ELK1
P78552	I13R1
O00459	P85B
O75159	SOCS5
Q15759	MK11
O15524	SOCS1
P05112	IL4
Q09472	EP300
P62993	GRB2
P28482	MK01
P49715	CEBPA
P35568	IRS1
P27986	P85A
Q05513	KPCZ
P42226	STAT6
P24394	IL4RA
Q9Y6Q9	NCOA3
Q04206	TF65
P61073	CXCR4
Q92835	SHIP1
