UniProtID	Gene_name
P04049	RAF1
O43524	FOXO3
P01112	RASH
P42336	PK3CA
P10721	KIT
P21583	SCF
Q92729	PTPRU
P32927	IL3RB
Q07889	SOS1
Q13191	CBLB
O75970	MPDZ
P15498	VAV
P07332	FES
P29353	SHC1
P61160	ARP2
O75030	MITF
P52333	JAK3
P42224	STAT1
P16871	IL7RA
P19174	PLCG1
P42679	MATK
Q7Z699	SPRE1
O00220	TR10A
Q06124	PTN11
P31749	AKT1
P08631	HCK
P05771	KPCB
P20936	RASA1
P07948	LYN
P27361	MK03
P19235	EPOR
Q7Z698	SPRE2
O60674	JAK2
O43516	WIPF1
Q99704	DOK1
Q06187	BTK
O14544	SOCS6
Q9UQC2	GAB2
O14492	SH2B2
P00519	ABL1
P22681	CBL
Q92934	BAD
P06241	FYN
P42768	WASP
Q13588	GRAP
Q13322	GRB10
P29350	PTN6
Q9ULZ2	STAP1
P19419	ELK1
O00459	P85B
Q14451	GRB7
O75159	SOCS5
P46108	CRK
Q96B97	SH3K1
O15524	SOCS1
P42680	TEC
Q09472	EP300
P49840	GSK3A
Q00610	CLH1
P62993	GRB2
P28482	MK01
Q15418	KS6A1
Q9UQQ2	SH2B3
P09769	FGR
P12931	SRC
P27986	P85A
P51692	STA5B
P46109	CRKL
Q8WXH5	SOCS4
P07947	YES
P17252	KPCA
Q13257	MD2L1
Q92835	SHIP1
P42229	STA5A
