UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
Q99490	P16471	AGAP2	PRLR
Q99490	P42229	AGAP2	STA5A
Q9Y297	P16471	FBW1A	PRLR
P49069	P16471	CAMLG	PRLR
P22681	P06241	CBL	FYN
P22681	P62993	CBL	GRB2
P22681	P27986	CBL	P85A
P22681	O00459	CBL	P85B
Q9HC77	P42229	CENPJ	STA5A
Q9NSE2	P16471	CISH	PRLR
Q92793	P16471	CBP	PRLR
Q92793	P16471	CBP	PRLR
P07339	P01236	CATD	PRL
P50570	P16471	DYN2	PRLR
P50570	P12931	DYN2	SRC
Q13541	P67775	4EBP1	PP2AA
Q09472	P42229	EP300	STA5A
P04626	P62993	ERBB2	GRB2
P04626	O60674	ERBB2	JAK2
Q15303	O60674	ERBB4	JAK2
Q15303	P16471	ERBB4	PRLR
Q9UKB1	P16471	FBW1B	PRLR
P21333	Q9NRF2	FLNA	SH2B1
P06241	P22681	FYN	CBL
P06241	P22681	FYN	CBL
P06241	P27986	FYN	P85A
P06241	O00459	FYN	P85B
P06241	P16471	FYN	PRLR
Q9UQC2	P42336	GAB2	PK3CA
Q9UQC2	P42338	GAB2	PK3CB
Q9UQC2	P48736	GAB2	PK3CG
Q9UQC2	Q06124	GAB2	PTN11
P62993	P22681	GRB2	CBL
P62993	P04626	GRB2	ERBB2
P62993	Q06124	GRB2	PTN11
P62993	P29350	GRB2	PTN6
P62993	P29353	GRB2	SHC1
P62993	O15524	GRB2	SOCS1
P62993	Q07889	GRB2	SOS1
P05204	P16471	HMGN2	PRLR
P35568	P27986	IRS1	P85A
P35568	O00459	IRS1	P85B
P35568	P16471	IRS1	PRLR
Q9Y4H2	P27986	IRS2	P85A
Q9Y4H2	O00459	IRS2	P85B
P05556	P16471	ITB1	PRLR
P05556	P78324	ITB1	SHPS1
O60674	P04626	JAK2	ERBB2
O60674	Q15303	JAK2	ERBB4
O60674	Q15303	JAK2	ERBB4
O60674	P62993	JAK2	GRB2
O60674	Q14527	JAK2	HLTF
O60674	Q13153	JAK2	PAK1
O60674	P62937	JAK2	PPIA
O60674	P16471	JAK2	PRLR
O60674	P16471	JAK2	PRLR
O60674	P16471	JAK2	PRLR
O60674	Q06124	JAK2	PTN11
O60674	Q06124	JAK2	PTN11
O60674	Q9NRF2	JAK2	SH2B1
O60674	P29353	JAK2	SHC1
O60674	P78324	JAK2	SHPS1
O60674	O15524	JAK2	SOCS1
O60674	P42229	JAK2	STA5A
O60674	P51692	JAK2	STA5B
P10242	P42229	MYB	STA5A
P16333	Q13153	NCK1	PAK1
P51956	P16471	NEK3	PRLR
P51956	P49023	NEK3	PAXI
P51956	P15498	NEK3	VAV
P51956	P52735	NEK3	VAV2
Q13469	P42229	NFAC2	STA5A
Q13469	P51692	NFAC2	STA5B
Q13153	P16333	PAK1	NCK1
Q9Y6X2	P42229	PIAS3	STA5A
P42336	Q9UQC2	PK3CA	GAB2
P42336	P42338	PK3CA	PK3CB
P42336	P48736	PK3CA	PK3CG
P42338	Q9UQC2	PK3CB	GAB2
P42338	P42336	PK3CB	PK3CA
P42338	P48736	PK3CB	PK3CG
P48736	Q9UQC2	PK3CG	GAB2
P48736	P42336	PK3CG	PK3CA
P48736	P42338	PK3CG	PK3CB
P27986	P22681	P85A	CBL
P27986	P06241	P85A	FYN
P27986	P35568	P85A	IRS1
P27986	Q9Y4H2	P85A	IRS2
P27986	O00459	P85A	P85B
P27986	P16471	P85A	PRLR
P27986	P42229	P85A	STA5A
O00459	P22681	P85B	CBL
O00459	P06241	P85B	FYN
O00459	P35568	P85B	IRS1
O00459	Q9Y4H2	P85B	IRS2
O00459	P27986	P85B	P85A
O00459	P42229	P85B	STA5A
P00749	P05121	UROK	PAI1
P62937	O60674	PPIA	JAK2
P62937	P16471	PPIA	PRLR
P23284	P01236	PPIB	PRL
P23284	P42229	PPIB	STA5A
P67775	Q13541	PP2AA	4EBP1
P67775	P23443	PP2AA	KS6B1
P01236	P23284	PRL	PPIB
P01236	P16471	PRL	PRLR
P01236	P42229	PRL	STA5A
P16471	Q99490	PRLR	AGAP2
P16471	Q9Y297	PRLR	FBW1A
P16471	P49069	PRLR	CAMLG
P16471	Q9NSE2	PRLR	CISH
P16471	Q92793	PRLR	CBP
P16471	P50570	PRLR	DYN2
P16471	Q15303	PRLR	ERBB4
P16471	Q9UKB1	PRLR	FBW1B
P16471	P06241	PRLR	FYN
P16471	P05204	PRLR	HMGN2
P16471	P35568	PRLR	IRS1
P16471	P05556	PRLR	ITB1
P16471	O60674	PRLR	JAK2
P16471	P51956	PRLR	NEK3
P16471	P27986	PRLR	P85A
P16471	P62937	PRLR	PPIA
P16471	P01236	PRLR	PRL
P16471	Q06124	PRLR	PTN11
P16471	P04049	PRLR	RAF1
P16471	P78324	PRLR	SHPS1
P16471	O14508	PRLR	SOCS2
P16471	O14543	PRLR	SOCS3
P16471	P12931	PRLR	SRC
P16471	P42229	PRLR	STA5A
P16471	P42680	PRLR	TEC
P16471	P15498	PRLR	VAV
P16471	P52735	PRLR	VAV2
P16471	P61981	PRLR	1433G
P16471	P63104	PRLR	1433Z
P16471	P43403	PRLR	ZAP70
P18031	P42229	PTN1	STA5A
P18031	P42229	PTN1	STA5A
P18031	P51692	PTN1	STA5B
P18031	P51692	PTN1	STA5B
Q06124	Q9UQC2	PTN11	GAB2
Q06124	P62993	PTN11	GRB2
Q06124	O60674	PTN11	JAK2
Q06124	O60674	PTN11	JAK2
Q06124	P16471	PTN11	PRLR
Q06124	P42229	PTN11	STA5A
P17706	P42229	PTN2	STA5A
P17706	P51692	PTN2	STA5B
P29350	P62993	PTN6	GRB2
P49023	P51956	PAXI	NEK3
P04049	Q02750	RAF1	MP2K1
P04049	P16471	RAF1	PRLR
P23443	P67775	KS6B1	PP2AA
P05121	P00749	PAI1	UROK
Q9NRF2	P21333	SH2B1	FLNA
Q9NRF2	O60674	SH2B1	JAK2
P29353	P62993	SHC1	GRB2
P29353	O60674	SHC1	JAK2
P29353	Q07889	SHC1	SOS1
P78324	P05556	SHPS1	ITB1
P78324	O60674	SHPS1	JAK2
P78324	P16471	SHPS1	PRLR
O15524	P62993	SOCS1	GRB2
O15524	O60674	SOCS1	JAK2
O14508	P16471	SOCS2	PRLR
O14543	P16471	SOCS3	PRLR
O14512	P42229	SOCS7	STA5A
O14512	P51692	SOCS7	STA5B
Q07889	P62993	SOS1	GRB2
Q07889	P29353	SOS1	SHC1
P12931	P50570	SRC	DYN2
P12931	P16471	SRC	PRLR
P42229	Q99490	STA5A	AGAP2
P42229	Q9HC77	STA5A	CENPJ
P42229	Q09472	STA5A	EP300
P42229	O60674	STA5A	JAK2
P42229	P10242	STA5A	MYB
P42229	Q13469	STA5A	NFAC2
P42229	Q9Y6X2	STA5A	PIAS3
P42229	P27986	STA5A	P85A
P42229	O00459	STA5A	P85B
P42229	P23284	STA5A	PPIB
P42229	P01236	STA5A	PRL
P42229	P16471	STA5A	PRLR
P42229	P18031	STA5A	PTN1
