UniProtID	Gene_name
Q05397	FAK1
P06239	LCK
Q9UDY8	MALT1
Q14511	CASL
O43561	LAT
Q13191	CBLB
P15498	VAV
P15336	ATF2
Q14161	GIT2
P52333	JAK3
P52566	GDIR2
O95999	BCL10
Q9Y6J0	CABIN
Q05209	PTN12
P24666	PPAC
P07948	LYN
Q9NSE2	CISH
O43353	RIPK2
P27348	1433T
P22681	CBL
Q14765	STAT4
Q13588	GRAP
P68366	TBA4A
P18146	EGR1
Q9UKW4	VAV3
P04234	CD3D
Q04759	KPCT
Q92835	SHIP1
Q9UI08	EVL
Q92793	CBP
P43403	ZAP70
Q8NET5	NFAM1
O75563	SKAP2
P43405	KSYK
Q06124	PTN11
P20936	RASA1
Q14289	FAK2
Q07890	SOS2
Q15464	SHB
P01730	CD4
P42768	WASP
Q9Y6W8	ICOS
P50552	VASP
Q9UEW8	STK39
Q9Y6W5	WASF2
O75144	ICOSL
Q9NSC5	HOME3
P28482	MK01
P19338	NUCL
O95267	GRP1
P35222	CTNB1
Q12913	PTPRJ
P50570	DYN2
P26045	PTN3
P01732	CD8A
P78314	3BP2
Q9NP31	SH22A
O15111	IKKA
P10747	CD28
P33681	CD80
P42681	TXK
P09693	CD3G
Q16539	MK14
Q86Y01	DTX1
Q8IZP0	ABI1
P17676	CEBPB
Q9Y5K6	CD2AP
P05412	JUN
P31749	AKT1
Q12959	DLG1
Q13905	RPGF1
Q13233	M3K1
Q13239	SLAP1
Q13469	NFAC2
Q86WV1	SKAP1
Q96P31	FCRL3
O43516	WIPF1
Q99704	DOK1
P42081	CD86
P49023	PAXI
P41279	M3K8
O95644	NFAC1
Q8N5H7	SH2D3
Q9HD43	PTPRH
P25963	IKBA
O00459	P85B
Q9BXL7	CAR11
P06127	CD5
Q96J02	ITCH
P07766	CD3E
Q08881	ITK
Q13094	LCP2
Q9Y3P8	SIT1
Q9Y4K3	TRAF6
P63104	1433Z
P16220	CREB1
Q9UQQ2	SH2B3
Q8WUI4	HDAC7
P51692	STA5B
P46109	CRKL
P07437	TBB5
O15117	FYB1
Q9BZL6	KPCD2
Q07889	SOS1
P15941	MUC1
Q02750	MP2K1
O60496	DOK2
P29353	SHC1
O75791	GRAP2
Q6PIZ9	TRAT1
P04435	TVB79
Q9H4E7	DEFI6
P19174	PLCG1
P45984	MK09
Q9UJU6	DBNL
Q14155	ARHG7
Q9H400	LIME1
Q9Y2R2	PTN22
Q99558	M3K14
Q7LDG7	GRP2
P51452	DUS3
Q9UQC2	GAB2
O14920	IKKB
Q92608	DOCK2
P00519	ABL1
Q13153	PAK1
P06241	FYN
P16333	NCK1
P29350	PTN6
P60953	CDC42
Q8IWV1	LAX1
P46108	CRK
P20963	CD3Z
P06729	CD2
P16298	PP2BB
Q8N8S7	ENAH
Q13432	U119A
P01100	FOS
Q9H6Q3	SLAP2
P16410	CTLA4
P62993	GRB2
Q9NWQ8	PHAG1
Q15052	ARHG6
P12931	SRC
Q92918	M4K1
P08575	PTPRC
P27986	P85A
P62834	RAP1A
Q07666	KHDR1
O43586	PPIP1
Q14643	ITPR1
Q04206	TF65
P42229	STA5A
