UniProtID	Gene_name
P04049	RAF1
P46527	CDN1B
P01112	RASH
P42336	PK3CA
P11802	CDK4
P40763	STAT3
P15336	ATF2
P29353	SHC1
P01215	GLHA
P01222	TSHB
Q16539	MK14
P35613	BASI
P29992	GNA11
P63096	GNAI1
P04899	GNAI2
P08754	GNAI3
P27797	CALR
O95467	GNAS3
P09471	GNAO
P11021	BIP
O60674	JAK2
P17612	KAPCA
Q14160	SCRIB
P06400	RB
Q9Y4H2	IRS2
Q15653	IKBB
P50148	GNAQ
Q12967	GNDS
P23443	KS6B1
O14543	SOCS3
P25963	IKBA
P23458	JAK1
P24864	CCNE1
P27824	CALX
O00459	P85B
P53985	MOT1
Q14344	GNA13
P05023	AT1A1
P16473	TSHR
P24941	CDK2
P30281	CCND3
O15524	SOCS1
P08069	IGF1R
Q9Y2W7	CSEN
P11142	HSP7C
Q03113	GNA12
P27986	P85A
P62753	RS6
