UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
P31749	Q9NR80	AKT1	ARHG4
P31749	O15169	AKT1	AXIN1
P31749	O14640	AKT1	DVL1
P31749	Q14397	AKT1	GCKR
P31749	P49841	AKT1	GSK3B
P25054	O15169	APC	AXIN1
P25054	Q9Y2T1	APC	AXIN2
P25054	Q9Y297	APC	FBW1A
P25054	P36544	APC	ACHA7
P25054	P35222	APC	CTNB1
P25054	P49841	APC	GSK3B
P25054	Q13418	APC	ILK
P25054	P14923	APC	PLAK
Q9NR80	P31749	ARHG4	AKT1
Q9NR80	O14640	ARHG4	DVL1
Q9NR80	Q14397	ARHG4	GCKR
Q9NR80	P49841	ARHG4	GSK3B
P49407	O14640	ARRB1	DVL1
P49407	O14641	ARRB1	DVL2
P32121	O14641	ARRB2	DVL2
P32121	Q9ULV1	ARRB2	FZD4
O15169	P31749	AXIN1	AKT1
O15169	P25054	AXIN1	APC
O15169	Q9Y297	AXIN1	FBW1A
O15169	P19022	AXIN1	CADH2
O15169	P48729	AXIN1	KC1A
O15169	P35222	AXIN1	CTNB1
O15169	P98082	AXIN1	DAB2
O15169	Q155Q3	AXIN1	DIXC1
O15169	O14640	AXIN1	DVL1
O15169	O14641	AXIN1	DVL2
O15169	Q92997	AXIN1	DVL3
O15169	Q92837	AXIN1	FRAT1
O15169	P49841	AXIN1	GSK3B
O15169	O75197	AXIN1	LRP5
O15169	O75581	AXIN1	LRP6
O15169	P45985	AXIN1	MP2K4
O15169	Q13233	AXIN1	M3K1
O15169	Q9Y6R4	AXIN1	M3K4
O15169	P67775	AXIN1	PP2AA
Q9Y2T1	P25054	AXIN2	APC
Q9Y2T1	P35222	AXIN2	CTNB1
Q9Y2T1	P49841	AXIN2	GSK3B
O00512	P35222	BCL9	CTNB1
O00512	P15884	BCL9	ITF2
Q9Y297	P25054	FBW1A	APC
Q9Y297	O15169	FBW1A	AXIN1
Q9Y297	P35222	FBW1A	CTNB1
Q9Y297	P49841	FBW1A	GSK3B
P24385	P35222	CCND1	CTNB1
P12830	P35222	CADH1	CTNB1
P19022	O15169	CADH2	AXIN1
P19022	P35222	CADH2	CTNB1
P19022	P14923	CADH2	PLAK
P19022	O75197	CADH2	LRP5
P19022	O75581	CADH2	LRP6
Q00534	P35222	CDK6	CTNB1
Q9P2D1	Q9UBE8	CHD7	NLK
Q9P2D1	P37231	CHD7	PPARG
Q9P2D1	Q15047	CHD7	SETB1
P36544	P25054	ACHA7	APC
P48729	O15169	KC1A	AXIN1
P48729	P35222	KC1A	CTNB1
P48729	P35222	KC1A	CTNB1
P48729	Q13469	KC1A	NFAC2
P48730	O14641	KC1D	DVL2
P48730	Q92997	KC1D	DVL3
P49674	P25054	KC1E	APC
P49674	O14640	KC1E	DVL1
P49674	O14640	KC1E	DVL1
P49674	O14641	KC1E	DVL2
P49674	Q92997	KC1E	DVL3
Q13363	Q9NQB0	CTBP1	TF7L2
P56545	P15884	CTBP2	ITF2
P35222	P25054	CTNB1	APC
P35222	O15169	CTNB1	AXIN1
P35222	Q9Y2T1	CTNB1	AXIN2
P35222	O00512	CTNB1	BCL9
P35222	Q9Y297	CTNB1	FBW1A
P35222	P24385	CTNB1	CCND1
P35222	P12830	CTNB1	CADH1
P35222	P19022	CTNB1	CADH2
P35222	Q00534	CTNB1	CDK6
P35222	P48729	CTNB1	KC1A
P35222	P49841	CTNB1	GSK3B
P35222	P14923	CTNB1	PLAK
P35222	Q9UJU2	CTNB1	LEF1
