UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
P00519	O15350	ABL1	P73
P31749	Q92934	AKT1	BAD
P31749	Q04912	AKT1	RON
P10275	P00533	ANDR	EGFR
P42574	P31749	CASP3	AKT1
P48509	P23229	CD151	ITA6
A8K7I4	P16144	CLCA1	ITB4
Q9UQC9	P16144	CLCA2	ITB4
Q9UMD9	P15924	COHA1	DESP
Q9UMD9	Q03001	COHA1	DYST
Q9UMD9	P23229	COHA1	ITA6
Q9UMD9	P16144	COHA1	ITB4
Q9UMD9	Q15149	COHA1	PLEC
P15924	Q9UMD9	DESP	COHA1
Q03001	Q9UMD9	DYST	COHA1
Q03001	Q96RT1	DYST	ERBIN
Q03001	P16144	DYST	ITB4
P00533	P10275	EGFR	ANDR
P00533	P23229	EGFR	ITA6
P00533	P16144	EGFR	ITB4
P06730	Q13541	IF4E	4EBP1
Q13541	P06730	4EBP1	IF4E
P56537	P16144	IF6	ITB4
P29323	P16144	EPHB2	ITB4
P04626	P23229	ERBB2	ITA6
P04626	P16144	ERBB2	ITB4
P04626	P27986	ERBB2	P85A
Q96RT1	Q03001	ERBIN	DYST
Q96RT1	P16144	ERBIN	ITB4
P06241	P16144	FYN	ITB4
P62993	Q05397	GRB2	FAK1
P62993	P29353	GRB2	SHC1
P35568	P27986	IRS1	P85A
Q9Y4H2	P27986	IRS2	P85A
P23229	P48509	ITA6	CD151
P23229	Q9UMD9	ITA6	COHA1
P23229	P00533	ITA6	EGFR
P23229	P04626	ITA6	ERBB2
P23229	P16144	ITA6	ITB4
P23229	P25391	ITA6	LAMA1
P23229	P24043	ITA6	LAMA2
P23229	Q16787	ITA6	LAMA3
P23229	O15230	ITA6	LAMA5
P23229	P07942	ITA6	LAMB1
P23229	P55268	ITA6	LAMB2
P23229	Q13751	ITA6	LAMB3
P23229	P11047	ITA6	LAMC1
P23229	Q13753	ITA6	LAMC2
P23229	O95631	ITA6	NET1
P23229	P08865	ITA6	RSSA
P16144	A8K7I4	ITB4	CLCA1
P16144	Q9UQC9	ITB4	CLCA2
P16144	Q9UMD9	ITB4	COHA1
P16144	Q03001	ITB4	DYST
P16144	P00533	ITB4	EGFR
P16144	P56537	ITB4	IF6
P16144	P04626	ITB4	ERBB2
P16144	Q96RT1	ITB4	ERBIN
P16144	P06241	ITB4	FYN
P16144	P23229	ITB4	ITA6
P16144	P25391	ITB4	LAMA1
P16144	P24043	ITB4	LAMA2
P16144	Q16787	ITB4	LAMA3
P16144	O15230	ITB4	LAMA5
P16144	P07942	ITB4	LAMB1
P16144	P55268	ITB4	LAMB2
P16144	Q13751	ITB4	LAMB3
P16144	P11047	ITB4	LAMC1
