UniProtID	Gene_name
Q96S59	RANB9
Q8IZD9	DOCK3
Q13541	4EBP1
P42263	GRIA3
O43639	NCK2
P52735	VAV2
P01138	NGF
P67809	YBOX1
P10586	PTPRF
Q00535	CDK5
P29353	SHC1
O43559	FRS3
Q16288	NTRK3
P67775	PP2AA
Q8IVT5	KSR1
O15530	PDPK1
P19174	PLCG1
P23560	BDNF
P22001	KCNA3
P28472	GBRB3
P13591	NCAM1
P20783	NTF3
P31749	AKT1
Q12959	DLG1
Q06124	PTN11
P27361	MK03
P42261	GRIA1
O76039	CDKL5
Q6S5L8	SHC4
Q13501	SQSTM
Q99523	SORT
Q9P104	DOK5
O14492	SH2B2
P63000	RAC1
Q9Y4H2	IRS2
P04629	NTRK1
P06241	FYN
P42262	GRIA2
P16870	CBPE
P16333	NCK1
P08138	TNR16
Q16620	NTRK2
P51812	KS6A3
P78536	ADA17
P23443	KS6B1
Q92934	BAD
O00459	P85B
P42345	MTOR
Q92529	SHC3
Q9UKW4	VAV3
Q13009	TIAM1
P98077	SHC2
P46459	NSF
P17600	SYN1
Q9Y4K3	TRAF6
P62993	GRB2
P28482	MK01
Q15418	KS6A1
P16220	CREB1
Q6UUV9	CRTC1
Q8WU20	FRS2
P63244	RACK1
P35568	IRS1
P27986	P85A
P35222	CTNB1
Q9Y3R0	GRIP1
O75582	KS6A5
P78324	SHPS1
P62753	RS6
Q96FE5	LIGO1
P19022	CADH2
