UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
P25098	P23945	ARBK1	FSHR
P31751	P23945	AKT2	FSHR
Q9UKG1	P23945	DP13A	FSHR
P36575	P23945	ARRC	FSHR
P49407	P32121	ARRB1	ARRB2
P49407	P23945	ARRB1	FSHR
P32121	P49407	ARRB2	ARRB1
P32121	P23945	ARRB2	FSHR
P01215	P01225	GLHA	FSHB
P01215	P23945	GLHA	FSHR
P01225	P01215	FSHB	GLHA
P01225	P23945	FSHB	FSHR
P23945	P31751	FSHR	AKT2
P23945	Q9UKG1	FSHR	DP13A
P23945	P36575	FSHR	ARRC
P23945	P49407	FSHR	ARRB1
P23945	P32121	FSHR	ARRB2
P23945	P01215	FSHR	GLHA
P23945	P01225	FSHR	FSHB
P23945	P27348	FSHR	1433T
P32298	P23945	GRK4	FSHR
P43250	P23945	GRK6	FSHR
P51178	P21980	PLCD1	TGM2
P17612	P17302	KAPCA	CXA1
P17612	Q16695	KAPCA	H31T
P17612	P10276	KAPCA	RARA
P10644	P10276	KAP0	RARA
P10276	P10644	RARA	KAP0
P21980	P51178	TGM2	PLCD1
P27348	P23945	1433T	FSHR
