UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
P25098	Q13635	ARBK1	PTC1
P25098	Q99835	ARBK1	SMO
P32121	Q99835	ARRB2	SMO
Q9BWV1	Q15465	BOC	SHH
P49336	P10071	CDK8	GLI3
P49336	Q15648	CDK8	MED1
P49336	Q93074	CDK8	MED12
P49336	Q9ULK4	CDK8	MED23
P49336	O75586	CDK8	MED6
Q4KMG0	Q15465	CDON	SHH
Q92793	P10071	CBP	GLI3
P35222	P08151	CTNB1	GLI1
O43323	Q96QV1	DHH	HHIP
O43323	Q13635	DHH	PTC1
O43323	Q9Y6C5	DHH	PTC2
Q13627	P08151	DYR1A	GLI1
Q13627	P08151	DYR1A	GLI1
P54826	Q15465	GAS1	SHH
P08151	P35222	GLI1	CTNB1
P08151	Q13627	GLI1	DYR1A
P08151	O00422	GLI1	SAP18
P08151	Q96ST3	GLI1	SIN3A
P08151	Q9NRP7	GLI1	STK36
P08151	Q9UMX1	GLI1	SUFU
P08151	P62258	GLI1	1433E
P10070	Q2M1P5	GLI2	KIF7
P10070	Q9Y466	GLI2	NR2E1
P10070	P12755	GLI2	SKI
P10070	Q15797	GLI2	SMAD1
P10070	Q9NRP7	GLI2	STK36
P10070	Q9UMX1	GLI2	SUFU
P10070	P62258	GLI2	1433E
P10071	P49336	GLI3	CDK8
P10071	Q92793	GLI3	CBP
P10071	Q86VH2	GLI3	KIF27
P10071	Q2M1P5	GLI3	KIF7
P10071	Q15648	GLI3	MED1
P10071	Q93074	GLI3	MED12
P10071	Q9ULK4	GLI3	MED23
P10071	O75586	GLI3	MED6
P10071	P12755	GLI3	SKI
P10071	Q9NRP7	GLI3	STK36
P10071	Q9UMX1	GLI3	SUFU
P10071	P62258	GLI3	1433E
Q5VTY9	Q15465	HHAT	SHH
Q96QV1	O43323	HHIP	DHH
Q96QV1	Q14623	HHIP	IHH
Q96QV1	Q15465	HHIP	SHH
Q14623	Q96QV1	IHH	HHIP
Q14623	Q13635	IHH	PTC1
Q14623	Q9Y6C5	IHH	PTC2
Q86VH2	P10071	KIF27	GLI3
Q86VH2	Q2M1P5	KIF27	KIF7
Q2M1P5	P10070	KIF7	GLI2
Q2M1P5	P10071	KIF7	GLI3
Q2M1P5	Q86VH2	KIF7	KIF27
Q15648	P49336	MED1	CDK8
Q15648	P10071	MED1	GLI3
Q15648	Q93074	MED1	MED12
Q15648	Q9ULK4	MED1	MED23
Q15648	O75586	MED1	MED6
Q93074	P49336	MED12	CDK8
Q93074	P10071	MED12	GLI3
Q93074	Q15648	MED12	MED1
Q93074	Q9ULK4	MED12	MED23
Q93074	O75586	MED12	MED6
Q9ULK4	P49336	MED23	CDK8
Q9ULK4	P10071	MED23	GLI3
Q9ULK4	Q15648	MED23	MED1
Q9ULK4	Q93074	MED23	MED12
Q9ULK4	O75586	MED23	MED6
O75586	P49336	MED6	CDK8
O75586	P10071	MED6	GLI3
O75586	Q15648	MED6	MED1
O75586	Q93074	MED6	MED12
O75586	Q9ULK4	MED6	MED23
Q9Y466	P10070	NR2E1	GLI2
Q9Y466	Q15797	NR2E1	SMAD1
P17612	P08151	KAPCA	GLI1
P17612	P10071	KAPCA	GLI3
Q13635	P25098	PTC1	ARBK1
Q13635	O43323	PTC1	DHH
Q13635	Q14623	PTC1	IHH
Q13635	Q15465	PTC1	SHH
Q13635	Q99835	PTC1	SMO
Q9Y6C5	O43323	PTC2	DHH
Q9Y6C5	Q14623	PTC2	IHH
Q9Y6C5	Q15465	PTC2	SHH
Q9Y6C5	Q99835	PTC2	SMO
O00422	P08151	SAP18	GLI1
O00422	Q96ST3	SAP18	SIN3A
O00422	Q9UMX1	SAP18	SUFU
P34741	Q15465	SDC2	SHH
Q15465	Q9BWV1	SHH	BOC
Q15465	Q4KMG0	SHH	CDON
Q15465	P54826	SHH	GAS1
Q15465	Q96QV1	SHH	HHIP
Q15465	Q13635	SHH	PTC1
Q15465	Q9Y6C5	SHH	PTC2
Q15465	P34741	SHH	SDC2
Q15465	Q99835	SHH	SMO
Q96ST3	P08151	SIN3A	GLI1
Q96ST3	O00422	SIN3A	SAP18
Q96ST3	Q9UMX1	SIN3A	SUFU
P12755	P10070	SKI	GLI2
P12755	P10071	SKI	GLI3
Q15797	P10070	SMAD1	GLI2
Q15797	Q9Y466	SMAD1	NR2E1
Q99835	P32121	SMO	ARRB2
Q99835	Q13635	SMO	PTC1
Q99835	Q9Y6C5	SMO	PTC2
Q99835	Q15465	SMO	SHH
Q9NRP7	P08151	STK36	GLI1
Q9NRP7	P10070	STK36	GLI2
Q9NRP7	P10071	STK36	GLI3
Q9NRP7	Q9UMX1	STK36	SUFU
Q9UMX1	P08151	SUFU	GLI1
Q9UMX1	P10070	SUFU	GLI2
Q9UMX1	P10071	SUFU	GLI3
Q9UMX1	O00422	SUFU	SAP18
Q9UMX1	Q96ST3	SUFU	SIN3A
Q9UMX1	Q9NRP7	SUFU	STK36
P62258	P08151	1433E	GLI1
P62258	P10070	1433E	GLI2
P62258	P10071	1433E	GLI3
