UniProtID	Gene_name
P04626	ERBB2
P01112	RASH
P08887	IL6RA
Q07889	SOS1
P52564	MP2K6
P40763	STAT3
P15498	VAV
Q92793	CBP
P07332	FES
P10275	ANDR
Q00535	CDK5
P29353	SHC1
P42224	STAT1
P17676	CEBPB
P07900	HS90A
P05412	JUN
Q06124	PTN11
P08631	HCK
Q9UBE8	NLK
Q14289	FAK2
P50750	CDK9
P07948	LYN
O43318	M3K7
P27361	MK03
P40189	IL6RB
P20823	HNF1A
Q13547	HDAC1
P45985	MP2K4
P21860	ERBB3
O60674	JAK2
Q05655	KPCD
Q06187	BTK
Q9UQC2	GAB2
P63000	RAC1
P22681	CBL
O14543	SOCS3
P23458	JAK1
O00459	P85B
Q13480	GAB1
P05231	IL6
Q9UER7	DAXX
Q09472	EP300
P01100	FOS
Q15788	NCOA1
P62993	GRB2
P28482	MK01
P27986	P85A
P29597	TYK2
Q9Y6X2	PIAS3
P78324	SHPS1
P10636	TAU
P19838	NFKB1
