UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
P62993	P35568	GRB2	IRS1
P62993	Q9Y4H2	GRB2	IRS2
P31785	P15248	IL2RG	IL9
P31785	Q01113	IL2RG	IL9R
P31785	P52333	IL2RG	JAK3
P15248	P31785	IL9	IL2RG
P15248	Q01113	IL9	IL9R
Q01113	P31785	IL9R	IL2RG
Q01113	P15248	IL9R	IL9
Q01113	P23458	IL9R	JAK1
Q01113	Q92993	IL9R	KAT5
Q01113	P55072	IL9R	TERA
P35568	P62993	IRS1	GRB2
P35568	P23458	IRS1	JAK1
P35568	P27986	IRS1	P85A
Q9Y4H2	P62993	IRS2	GRB2
Q9Y4H2	P27986	IRS2	P85A
P23458	Q01113	JAK1	IL9R
P23458	P35568	JAK1	IRS1
P23458	P35568	JAK1	IRS1
P52333	P31785	JAK3	IL2RG
P52333	P35568	JAK3	IRS1
Q92993	Q01113	KAT5	IL9R
Q92993	P40763	KAT5	STAT3
P27986	P35568	P85A	IRS1
P27986	Q9Y4H2	P85A	IRS2
P42224	P40763	STAT1	STAT3
P40763	Q92993	STAT3	KAT5
P40763	P42224	STAT3	STAT1
P55072	Q01113	TERA	IL9R
