UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
P00519	Q99704	ABL1	DOK1
P61160	P42768	ARP2	WASP
P61160	O43516	ARP2	WIPF1
P31749	Q92934	AKT1	BAD
P31749	Q92934	AKT1	BAD
P31749	O43524	AKT1	FOXO3
P31749	Q13322	AKT1	GRB10
P31749	P49840	AKT1	GSK3A
Q92934	P31749	BAD	AKT1
Q06187	P10721	BTK	KIT
Q06187	O00220	BTK	TR10A
P22681	Q13191	CBL	CBLB
P22681	P46109	CBL	CRKL
P22681	P62993	CBL	GRB2
P22681	P10721	CBL	KIT
P22681	P27986	CBL	P85A
P22681	O00459	CBL	P85B
P22681	P29353	CBL	SHC1
Q13191	P22681	CBLB	CBL
Q13191	P10721	CBLB	KIT
Q13191	Q96B97	CBLB	SH3K1
Q00610	P10721	CLH1	KIT
P46108	P10721	CRK	KIT
P46108	P27986	CRK	P85A
P46109	P22681	CRKL	CBL
P46109	Q99704	CRKL	DOK1
P46109	P10721	CRKL	KIT
P46109	P27986	CRKL	P85A
P46109	O00459	CRKL	P85B
P32927	P10721	IL3RB	KIT
Q99704	P00519	DOK1	ABL1
Q99704	P46109	DOK1	CRKL
Q99704	P07332	DOK1	FES
Q99704	P09769	DOK1	FGR
Q99704	P08631	DOK1	HCK
Q99704	Q92835	DOK1	SHIP1
Q99704	P10721	DOK1	KIT
Q99704	P07948	DOK1	LYN
Q99704	P27986	DOK1	P85A
Q99704	O00459	DOK1	P85B
Q99704	P19174	DOK1	PLCG1
Q99704	P20936	DOK1	RASA1
Q99704	P29353	DOK1	SHC1
Q99704	P12931	DOK1	SRC
Q99704	P42680	DOK1	TEC
Q99704	P07947	DOK1	YES
Q09472	O75030	EP300	MITF
P19235	P10721	EPOR	KIT
P07332	Q99704	FES	DOK1
P07332	P10721	FES	KIT
P09769	Q99704	FGR	DOK1
P06241	P07332	FYN	FES
P06241	P10721	FYN	KIT
P06241	P10721	FYN	KIT
Q9UQC2	Q06124	GAB2	PTN11
Q13588	P10721	GRAP	KIT
Q13322	P31749	GRB10	AKT1
Q13322	P10721	GRB10	KIT
P62993	P22681	GRB2	CBL
P62993	P10721	GRB2	KIT
P62993	Q06124	GRB2	PTN11
P62993	P29353	GRB2	SHC1
P62993	O15524	GRB2	SOCS1
P62993	Q07889	GRB2	SOS1
Q14451	P10721	GRB7	KIT
P08631	Q99704	HCK	DOK1
P08631	P10721	HCK	KIT
P01112	P04049	RASH	RAF1
P16871	P10721	IL7RA	KIT
Q92835	Q99704	SHIP1	DOK1
Q92835	P10721	SHIP1	KIT
O60674	P10721	JAK2	KIT
P52333	P10721	JAK3	KIT
P52333	P19174	JAK3	PLCG1
P10721	Q06187	KIT	BTK
P10721	P22681	KIT	CBL
P10721	Q13191	KIT	CBLB
P10721	Q00610	KIT	CLH1
P10721	P46108	KIT	CRK
P10721	P46109	KIT	CRKL
P10721	P32927	KIT	IL3RB
P10721	Q99704	KIT	DOK1
P10721	P19235	KIT	EPOR
P10721	P07332	KIT	FES
P10721	P06241	KIT	FYN
P10721	Q13588	KIT	GRAP
P10721	Q13322	KIT	GRB10
P10721	P62993	KIT	GRB2
P10721	Q14451	KIT	GRB7
P10721	P08631	KIT	HCK
P10721	P16871	KIT	IL7RA
P10721	Q92835	KIT	SHIP1
P10721	O60674	KIT	JAK2
P10721	P52333	KIT	JAK3
P10721	P21583	KIT	SCF
P10721	P07948	KIT	LYN
P10721	Q13257	KIT	MD2L1
P10721	P42679	KIT	MATK
P10721	O75970	KIT	MPDZ
P10721	P42336	KIT	PK3CA
P10721	P27986	KIT	P85A
P10721	P27986	KIT	P85A
P10721	O00459	KIT	P85B
P10721	O00459	KIT	P85B
P10721	P19174	KIT	PLCG1
P10721	Q06124	KIT	PTN11
P10721	P29350	KIT	PTN6
P10721	Q92729	KIT	PTPRU
P10721	P20936	KIT	RASA1
P10721	O14492	KIT	SH2B2
P10721	Q9UQQ2	KIT	SH2B3
P10721	Q96B97	KIT	SH3K1
P10721	P29353	KIT	SHC1
P10721	O15524	KIT	SOCS1
P10721	Q8WXH5	KIT	SOCS4
P10721	O75159	KIT	SOCS5
P10721	O14544	KIT	SOCS6
P10721	Q7Z699	KIT	SPRE1
P10721	Q7Z699	KIT	SPRE1
P10721	Q7Z698	KIT	SPRE2
P10721	Q7Z698	KIT	SPRE2
P10721	P12931	KIT	SRC
P10721	Q9ULZ2	KIT	STAP1
P10721	P42224	KIT	STAT1
P10721	P42224	KIT	STAT1
P10721	P42229	KIT	STA5A
P10721	P42229	KIT	STA5A
P10721	P51692	KIT	STA5B
P10721	P51692	KIT	STA5B
P10721	P42680	KIT	TEC
P10721	P15498	KIT	VAV
P10721	P07947	KIT	YES
P21583	P10721	SCF	KIT
P07948	Q99704	LYN	DOK1
P07948	Q99704	LYN	DOK1
P07948	P10721	LYN	KIT
P07948	P10721	LYN	KIT
P07948	P42680	LYN	TEC
Q13257	P10721	MD2L1	KIT
P28482	P19419	MK01	ELK1
P28482	O75030	MK01	MITF
P27361	P19419	MK03	ELK1
P42679	P10721	MATK	KIT
O75030	Q09472	MITF	EP300
O75970	P10721	MPDZ	KIT
P42336	P10721	PK3CA	KIT
P27986	P22681	P85A	CBL
P27986	P46108	P85A	CRK
P27986	P46109	P85A	CRKL
P27986	Q99704	P85A	DOK1
P27986	P10721	P85A	KIT
P27986	O00459	P85A	P85B
P27986	P12931	P85A	SRC
O00459	P22681	P85B	CBL
O00459	P46109	P85B	CRKL
O00459	Q99704	P85B	DOK1
O00459	P10721	P85B	KIT
O00459	P27986	P85B	P85A
P19174	Q99704	PLCG1	DOK1
P19174	P52333	PLCG1	JAK3
P19174	P10721	PLCG1	KIT
P17252	P10721	KPCA	KIT
P05771	P10721	KPCB	KIT
Q06124	Q9UQC2	PTN11	GAB2
Q06124	P62993	PTN11	GRB2
Q06124	P10721	PTN11	KIT
P29350	P10721	PTN6	KIT
P29350	P10721	PTN6	KIT
Q92729	P10721	PTPRU	KIT
P04049	P01112	RAF1	RASH
P20936	Q99704	RASA1	DOK1
P20936	P10721	RASA1	KIT
Q15418	O75030	KS6A1	MITF
O14492	P10721	SH2B2	KIT
Q9UQQ2	P10721	SH2B3	KIT
Q96B97	Q13191	SH3K1	CBLB
Q96B97	P10721	SH3K1	KIT
P29353	P22681	SHC1	CBL
P29353	Q99704	SHC1	DOK1
P29353	P62993	SHC1	GRB2
P29353	P10721	SHC1	KIT
P29353	Q07889	SHC1	SOS1
P29353	P42680	SHC1	TEC
O15524	P62993	SOCS1	GRB2
O15524	P10721	SOCS1	KIT
O15524	P15498	SOCS1	VAV
Q8WXH5	P10721	SOCS4	KIT
O75159	P10721	SOCS5	KIT
O14544	P10721	SOCS6	KIT
Q07889	P62993	SOS1	GRB2
Q07889	P29353	SOS1	SHC1
Q7Z699	P10721	SPRE1	KIT
Q7Z698	P10721	SPRE2	KIT
P12931	Q99704	SRC	DOK1
P12931	P10721	SRC	KIT
P12931	P10721	SRC	KIT
P12931	P27986	SRC	P85A
Q9ULZ2	P10721	STAP1	KIT
P42224	P10721	STAT1	KIT
P42224	P42229	STAT1	STA5A
P42224	P51692	STAT1	STA5B
P42229	P10721	STA5A	KIT
P42229	P42224	STA5A	STAT1
P42229	P51692	STA5A	STA5B
P51692	P10721	STA5B	KIT
P51692	P42224	STA5B	STAT1
P51692	P42229	STA5B	STA5A
P42680	Q99704	TEC	DOK1
P42680	Q99704	TEC	DOK1
P42680	P10721	TEC	KIT
P42680	P07948	TEC	LYN
P42680	P29353	TEC	SHC1
O00220	Q06187	TR10A	BTK
P15498	O15524	VAV	SOCS1
P42768	P61160	WASP	ARP2
P42768	O43516	WASP	WIPF1
O43516	P61160	WIPF1	ARP2
O43516	P42768	WIPF1	WASP
P07947	Q99704	YES	DOK1
P07947	P10721	YES	KIT
