UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
P31749	O15111	AKT1	IKKA
P31749	P49841	AKT1	GSK3B
P31749	O14920	AKT1	IKKB
P31749	Q9Y6K9	AKT1	NEMO
P31749	P42345	AKT1	MTOR
P31749	P42224	AKT1	STAT1
P16070	P50281	CD44	MMP14
Q00535	P40763	CDK5	STAT3
O15111	P31749	IKKA	AKT1
Q9NSE2	P48357	CISH	LEPR
P02741	P41159	CRP	LEP
P68400	P60484	CSK21	PTEN
Q09472	Q04206	EP300	TF65
P04626	P48357	ERBB2	LEPR
P03372	O60674	ESR1	JAK2
P03372	P40763	ESR1	STAT3
Q12778	P40763	FOXO1	STAT3
P06241	P35568	FYN	IRS1
P06241	P48357	FYN	LEPR
P06241	P40763	FYN	STAT3
P62993	Q06124	GRB2	PTN11
P62993	P29353	GRB2	SHC1
P49841	P60484	GSK3B	PTEN
P08069	P48357	IGF1R	LEPR
O14920	P31749	IKKB	AKT1
Q9Y6K9	P31749	NEMO	AKT1
P35568	P06241	IRS1	FYN
P35568	O60674	IRS1	JAK2
P35568	P48357	IRS1	LEPR
P35568	Q14432	IRS1	PDE3A
P35568	P27986	IRS1	P85A
P35568	O00459	IRS1	P85B
P35568	Q9NRF2	IRS1	SH2B1
Q9Y4H2	O60674	IRS2	JAK2
Q9Y4H2	P48357	IRS2	LEPR
Q9Y4H2	P27986	IRS2	P85A
Q9Y4H2	O00459	IRS2	P85B
Q9Y4H2	Q9NRF2	IRS2	SH2B1
O14654	P48357	IRS4	LEPR
O14654	P27986	IRS4	P85A
O14654	P19174	IRS4	PLCG1
P18084	P48357	ITB5	LEPR
P18084	P12931	ITB5	SRC
O60674	P03372	JAK2	ESR1
O60674	P35568	JAK2	IRS1
O60674	P35568	JAK2	IRS1
O60674	Q9Y4H2	JAK2	IRS2
O60674	Q9Y4H2	JAK2	IRS2
O60674	P48357	JAK2	LEPR
O60674	P48357	JAK2	LEPR
O60674	P27986	JAK2	P85A
O60674	O00459	JAK2	P85B
O60674	Q9NRF2	JAK2	SH2B1
O60674	O14543	JAK2	SOCS3
O60674	P42224	JAK2	STAT1
O60674	P40763	JAK2	STAT3
O60674	P40763	JAK2	STAT3
O60674	P51692	JAK2	STA5B
O60674	P51692	JAK2	STA5B
P52333	P48357	JAK3	LEPR
Q07666	P27986	KHDR1	P85A
Q07666	P40763	KHDR1	STAT3
P41159	P02741	LEP	CRP
P41159	P48357	LEP	LEPR
P48357	Q9NSE2	LEPR	CISH
P48357	P04626	LEPR	ERBB2
P48357	P06241	LEPR	FYN
P48357	P08069	LEPR	IGF1R
P48357	P35568	LEPR	IRS1
P48357	Q9Y4H2	LEPR	IRS2
P48357	O14654	LEPR	IRS4
P48357	P18084	LEPR	ITB5
P48357	O60674	LEPR	JAK2
P48357	P52333	LEPR	JAK3
P48357	P41159	LEPR	LEP
P48357	Q14432	LEPR	PDE3A
P48357	P27986	LEPR	P85A
P48357	O00459	LEPR	P85B
P48357	Q06124	LEPR	PTN11
P48357	O14508	LEPR	SOCS2
P48357	P12931	LEPR	SRC
P48357	P40763	LEPR	STAT3
Q02750	P27361	MP2K1	MK03
Q16539	P18846	MK14	ATF1
P50281	P16070	MMP14	CD44
P42345	P31749	MTOR	AKT1
Q15788	P40763	NCOA1	STAT3
Q14432	P35568	PDE3A	IRS1
Q14432	P48357	PDE3A	LEPR
P30101	P40763	PDIA3	STAT3
P27986	P35568	P85A	IRS1
P27986	Q9Y4H2	P85A	IRS2
P27986	O14654	P85A	IRS4
P27986	O60674	P85A	JAK2
P27986	Q07666	P85A	KHDR1
P27986	P48357	P85A	LEPR
P27986	O00459	P85A	P85B
O00459	P35568	P85B	IRS1
O00459	Q9Y4H2	P85B	IRS2
O00459	O60674	P85B	JAK2
O00459	P48357	P85B	LEPR
O00459	P27986	P85B	P85A
P19174	O14654	PLCG1	IRS4
Q05655	P35568	KPCD	IRS1
P18031	O60674	PTN1	JAK2
P18031	P40763	PTN1	STAT3
Q06124	P62993	PTN11	GRB2
Q06124	O60674	PTN11	JAK2
Q06124	P48357	PTN11	LEPR
Q04206	Q09472	TF65	EP300
Q13950	P40763	RUNX2	STAT3
Q9NRF2	P35568	SH2B1	IRS1
Q9NRF2	Q9Y4H2	SH2B1	IRS2
Q9NRF2	O60674	SH2B1	JAK2
P29353	P62993	SHC1	GRB2
O14508	P48357	SOCS2	LEPR
O14543	O60674	SOCS3	JAK2
O14512	P40763	SOCS7	STAT3
O14512	P42229	SOCS7	STA5A
O14512	P51692	SOCS7	STA5B
P08047	P40763	SP1	STAT3
P12931	P18084	SRC	ITB5
P12931	P48357	SRC	LEPR
P12931	P40763	SRC	STAT3
P42224	P31749	STAT1	AKT1
P42224	P40763	STAT1	STAT3
P40763	P03372	STAT3	ESR1
P40763	Q12778	STAT3	FOXO1
P40763	O60674	STAT3	JAK2
P40763	Q07666	STAT3	KHDR1
P40763	P48357	STAT3	LEPR
P40763	Q15788	STAT3	NCOA1
P40763	P30101	STAT3	PDIA3
P40763	Q13950	STAT3	RUNX2
P40763	O14512	STAT3	SOCS7
P40763	P08047	STAT3	SP1
P40763	P42224	STAT3	STAT1
P42229	O14512	STA5A	SOCS7
P51692	O60674	STA5B	JAK2
P51692	O14512	STA5B	SOCS7
