UniProtID	Gene_name
P04626	ERBB2
P60484	PTEN
Q12778	FOXO1
P41159	LEP
P18846	ATF1
O14654	IRS4
O14508	SOCS2
O15111	IKKA
P40763	STAT3
Q02750	MP2K1
Q9NRF2	SH2B1
Q00535	CDK5
P03372	ESR1
P29353	SHC1
P52333	JAK3
Q16539	MK14
P42224	STAT1
P19174	PLCG1
P16070	CD44
Q06124	PTN11
P31749	AKT1
P49841	GSK3B
P18084	ITB5
Q13950	RUNX2
Q9NSE2	CISH
P27361	MK03
O60674	JAK2
P02741	CRP
Q9Y6K9	NEMO
Q14432	PDE3A
Q05655	KPCD
O14920	IKKB
Q9Y4H2	IRS2
P06241	FYN
O14543	SOCS3
P48357	LEPR
P50281	MMP14
O00459	P85B
P42345	MTOR
P30101	PDIA3
P08047	SP1
P68400	CSK21
Q09472	EP300
Q15788	NCOA1
P08069	IGF1R
P62993	GRB2
P18031	PTN1
P12931	SRC
P35568	IRS1
P27986	P85A
P51692	STA5B
Q07666	KHDR1
Q04206	TF65
O14512	SOCS7
P42229	STA5A
