UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
O14672	O00548	ADA10	DLL1
P78536	P46531	ADA17	NOTC1
P31749	P27986	AKT1	P85A
Q96BI3	P05067	APH1A	A4
Q96BI3	O00548	APH1A	DLL1
Q96BI3	Q9Y219	APH1A	JAG2
Q96BI3	P46531	APH1A	NOTC1
Q96BI3	Q04721	APH1A	NOTC2
Q96BI3	Q9UM47	APH1A	NOTC3
Q96BI3	Q99466	APH1A	NOTC4
Q8WW43	P05067	APH1B	A4
Q8WW43	O00548	APH1B	DLL1
Q8WW43	Q9Y219	APH1B	JAG2
Q8WW43	P46531	APH1B	NOTC1
Q8WW43	Q04721	APH1B	NOTC2
Q8WW43	Q9UM47	APH1B	NOTC3
Q8WW43	Q99466	APH1B	NOTC4
P05067	P49757	A4	NUMB
P05067	Q9Y6R0	A4	NUMBL
P50553	Q09472	ASCL1	EP300
P78537	P46531	BL1S1	NOTC1
Q12860	P46531	CNTN1	NOTC1
Q12860	Q04721	CNTN1	NOTC2
Q13616	P46531	CUL1	NOTC1
Q13616	Q99466	CUL1	NOTC4
Q13616	P15923	CUL1	TFE2
O00548	P46531	DLL1	NOTC1
O00548	Q04721	DLL1	NOTC2
O00548	Q9UM47	DLL1	NOTC3
O00548	P49768	DLL1	PSN1
Q9NYJ7	P46531	DLL3	NOTC1
Q9NR61	Q99466	DLL4	NOTC4
Q86Y01	Q09472	DTX1	EP300
Q86Y01	P46531	DTX1	NOTC1
Q09472	P50553	EP300	ASCL1
Q09472	Q86Y01	EP300	DTX1
Q09472	Q92831	EP300	KAT2B
Q09472	P46531	EP300	NOTC1
Q09472	Q15797	EP300	SMAD1
Q969H0	P46531	FBXW7	NOTC1
Q969H0	P46531	FBXW7	NOTC1
Q969H0	Q99466	FBXW7	NOTC4
Q969H0	Q99466	FBXW7	NOTC4
Q969H0	P63208	FBXW7	SKP1
Q13642	Q06330	FHL1	SUH
Q13642	Q06587	FHL1	RING1
P09958	P46531	FURIN	NOTC1
P49841	Q04721	GSK3B	NOTC2
P49841	Q04721	GSK3B	NOTC2
Q13547	P43355	HDAC1	MAGA1
Q13547	Q9Y618	HDAC1	NCOR2
Q13547	Q06330	HDAC1	SUH
Q92769	P48544	HDAC2	KCNJ5
Q14469	Q96HZ4	HES1	HES6
Q14469	Q9UBP5	HES1	HEY2
Q14469	O60674	HES1	JAK2
Q14469	P40763	HES1	STAT3
Q5TA89	O60674	HES5	JAK2
Q5TA89	P40763	HES5	STAT3
Q96HZ4	Q14469	HES6	HES1
Q9UBP5	Q14469	HEY2	HES1
Q9UBP5	O75376	HEY2	NCOR1
Q9UBP5	Q96ST3	HEY2	SIN3A
Q96J02	P46531	ITCH	NOTC1
Q96J02	P46531	ITCH	NOTC1
Q96J02	P49757	ITCH	NUMB
P78504	P46531	JAG1	NOTC1
P78504	Q04721	JAG1	NOTC2
P78504	Q9UM47	JAG1	NOTC3
Q9Y219	P46531	JAG2	NOTC1
Q9Y219	Q04721	JAG2	NOTC2
Q9Y219	Q9UM47	JAG2	NOTC3
O60674	Q14469	JAK2	HES1
O60674	Q5TA89	JAK2	HES5
O60674	P40763	JAK2	STAT3
Q92831	Q09472	KAT2B	EP300
Q92831	P46531	KAT2B	NOTC1
Q92831	Q9UM47	KAT2B	NOTC3
Q92831	Q15797	KAT2B	SMAD1
P48544	Q92769	KCNJ5	HDAC2
P48544	Q06330	KCNJ5	SUH
P48544	O75446	KCNJ5	SAP30
P06239	P46531	LCK	NOTC1
P06239	P27986	LCK	P85A
P06239	O00459	LCK	P85B
Q9UJU2	P46531	LEF1	NOTC1
Q8NES3	P46531	LFNG	NOTC1
Q8NES3	Q04721	LFNG	NOTC2
P43355	Q13547	MAGA1	HDAC1
Q92585	P46531	MAML1	NOTC1
Q92585	Q04721	MAML1	NOTC2
Q92585	Q9UM47	MAML1	NOTC3
Q92585	Q99466	MAML1	NOTC4
Q92585	Q06330	MAML1	SUH
Q8IZL2	P46531	MAML2	NOTC1
Q8IZL2	Q04721	MAML2	NOTC2
Q8IZL2	Q9UM47	MAML2	NOTC3
Q8IZL2	Q99466	MAML2	NOTC4
Q8IZL2	Q06330	MAML2	SUH
Q96JK9	P46531	MAML3	NOTC1
Q96JK9	Q04721	MAML3	NOTC2
Q96JK9	Q9UM47	MAML3	NOTC3
Q96JK9	Q99466	MAML3	NOTC4
Q96JK9	Q06330	MAML3	SUH
P28482	P15923	MK01	TFE2
P27361	P15923	MK03	TFE2
Q06413	P46531	MEF2C	NOTC1
O00587	O00548	MFNG	DLL1
O00587	P78504	MFNG	JAG1
O00587	Q04721	MFNG	NOTC2
O75376	Q9UBP5	NCOR1	HEY2
