UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
Q15109	O60610	RAGE	DIAP1
Q15109	Q9NWZ3	RAGE	IRAK4
Q15109	P35568	RAGE	IRS1
Q15109	P50281	RAGE	MMP14
Q15109	Q99836	RAGE	MYD88
Q15109	P17252	RAGE	KPCA
Q15109	P61586	RAGE	RHOA
Q15109	P12931	RAGE	SRC
Q15109	P58753	RAGE	TIRAP
O95782	O60331	AP2A1	PI51C
P24385	P24941	CCND1	CDK2
P24864	P24941	CCNE1	CDK2
P24941	P24385	CDK2	CCND1
P24941	P24864	CDK2	CCNE1
P24941	P46527	CDK2	CDN1B
P46527	P24941	CDN1B	CDK2
O60610	Q15109	DIAP1	RAGE
P00533	Q05655	EGFR	KPCD
P00533	P29353	EGFR	SHC1
P62993	P29353	GRB2	SHC1
Q9NWZ3	Q15109	IRAK4	RAGE
Q9NWZ3	Q99836	IRAK4	MYD88
Q9NWZ3	P58753	IRAK4	TIRAP
P35568	Q15109	IRS1	RAGE
P35568	P17252	IRS1	KPCA
P35568	P12931	IRS1	SRC
P50281	Q15109	MMP14	RAGE
P26038	Q13464	MOES	ROCK1
Q99836	Q15109	MYD88	RAGE
Q99836	Q9NWZ3	MYD88	IRAK4
Q99836	P58753	MYD88	TIRAP
O60331	O95782	PI51C	AP2A1
P17252	Q15109	KPCA	RAGE
P17252	P35568	KPCA	IRS1
P17252	P12931	KPCA	SRC
Q05655	P00533	KPCD	EGFR
Q05655	P29353	KPCD	SHC1
Q05513	Q15109	KPCZ	RAGE
P61586	Q15109	RHOA	RAGE
Q13464	P26038	ROCK1	MOES
P29353	P00533	SHC1	EGFR
P29353	P62993	SHC1	GRB2
P29353	Q05655	SHC1	KPCD
P12931	Q15109	SRC	RAGE
P12931	P35568	SRC	IRS1
P12931	P17252	SRC	KPCA
P58753	Q15109	TIRAP	RAGE
P58753	Q9NWZ3	TIRAP	IRAK4
P58753	Q99836	TIRAP	MYD88
