UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
Q8IZP0	Q9Y6W5	ABI1	WASF2
P00519	P43403	ABL1	ZAP70
P24666	P43403	PPAC	ZAP70
P31749	Q04759	AKT1	KPCT
P52566	P29353	GDIR2	SHC1
P52566	P15498	GDIR2	VAV
Q15052	Q13153	ARHG6	PAK1
Q14155	Q14161	ARHG7	GIT2
Q14155	Q13153	ARHG7	PAK1
O95999	Q9BXL7	BCL10	CAR11
O95999	O43353	BCL10	RIPK2
Q9Y6J0	P16298	CABIN	PP2BB
Q9BXL7	O95999	CAR11	BCL10
Q9BXL7	Q92918	CAR11	M4K1
Q9BXL7	P43403	CAR11	ZAP70
P22681	P46108	CBL	CRK
P22681	P06241	CBL	FYN
P22681	P62993	CBL	GRB2
P22681	Q9Y2R2	CBL	PTN22
P22681	Q9H6Q3	CBL	SLAP2
P22681	P43405	CBL	KSYK
P22681	P27348	CBL	1433T
P22681	P43403	CBL	ZAP70
Q13191	P46109	CBLB	CRKL
Q13191	P62993	CBLB	GRB2
Q13191	P43405	CBLB	KSYK
Q13191	P43403	CBLB	ZAP70
P06729	O43586	CD2	PPIP1
P20963	P16410	CD3Z	CTLA4
P20963	Q92608	CD3Z	DOCK2
P20963	P62993	CD3Z	GRB2
P20963	P52333	CD3Z	JAK3
P20963	P26045	CD3Z	PTN3
P20963	P29353	CD3Z	SHC1
P20963	Q13239	CD3Z	SLAP1
P20963	Q9H6Q3	CD3Z	SLAP2
P20963	P42229	CD3Z	STA5A
P20963	P51692	CD3Z	STA5B
P20963	Q6PIZ9	CD3Z	TRAT1
P20963	Q13432	CD3Z	U119A
P20963	P43403	CD3Z	ZAP70
P10747	P33681	CD28	CD80
P10747	P27986	CD28	P85A
P10747	O00459	CD28	P85B
Q9Y5K6	O43586	CD2AP	PPIP1
P04234	P07766	CD3D	CD3E
P04234	P04435	CD3D	TVB79
P07766	P04234	CD3E	CD3D
P07766	P09693	CD3E	CD3G
P07766	P16333	CD3E	NCK1
P07766	P19338	CD3E	NUCL
P07766	Q6PIZ9	CD3E	TRAT1
P07766	P04435	CD3E	TVB79
P07766	Q13432	CD3E	U119A
P07766	P43403	CD3E	ZAP70
P09693	P07766	CD3G	CD3E
P09693	P04435	CD3G	TVB79
P01730	O43561	CD4	LAT
P01730	P06239	CD4	LCK
P01730	Q13432	CD4	U119A
P06127	P29350	CD5	PTN6
P06127	P43403	CD5	ZAP70
P33681	P10747	CD80	CD28
P33681	P16410	CD80	CTLA4
P42081	P16410	CD86	CTLA4
P01732	O43561	CD8A	LAT
P01732	P06239	CD8A	LCK
P60953	P42768	CDC42	WASP
P17676	Q9NSC5	CEBPB	HOME3
O15111	P25963	IKKA	IKBA
Q9NSE2	Q04759	CISH	KPCT
P16220	Q92793	CREB1	CBP
Q92793	P16220	CBP	CREB1
P46108	P22681	CRK	CBL
P46108	Q92918	CRK	M4K1
P46108	Q14511	CRK	CASL
P46108	P27986	CRK	P85A
P46108	O00459	CRK	P85B
P46108	P43403	CRK	ZAP70
P46109	Q13191	CRKL	CBLB
P46109	Q92918	CRKL	M4K1
P46109	P42768	CRKL	WASP
P46109	O43516	CRKL	WIPF1
P46109	P43403	CRKL	ZAP70
P16410	P20963	CTLA4	CD3Z
P16410	P33681	CTLA4	CD80
P16410	P42081	CTLA4	CD86
P16410	P27986	CTLA4	P85A
P16410	O00459	CTLA4	P85B
P35222	P15941	CTNB1	MUC1
Q9UJU6	Q92918	DBNL	M4K1
Q9H4E7	P43403	DEFI6	ZAP70
Q12959	P06239	DLG1	LCK
P50570	P15498	DYN2	VAV
Q92608	P20963	DOCK2	CD3Z
Q99704	P08575	DOK1	PTPRC
O60496	P62993	DOK2	GRB2
O60496	Q92835	DOK2	SHIP1
O60496	O43561	DOK2	LAT
Q86Y01	Q13233	DTX1	M3K1
P51452	P43403	DUS3	ZAP70
P18146	O95644	EGR1	NFAC1
P18146	Q13469	EGR1	NFAC2
P18146	Q04206	EGR1	TF65
Q8N8S7	O15117	ENAH	FYB1
Q9UI08	O15117	EVL	FYB1
Q96P31	P43403	FCRL3	ZAP70
P01100	P05412	FOS	JUN
P01100	Q13469	FOS	NFAC2
O15117	Q8N8S7	FYB1	ENAH
O15117	Q9UI08	FYB1	EVL
O15117	P06241	FYB1	FYN
O15117	Q13094	FYB1	LCP2
O15117	P16333	FYB1	NCK1
O15117	O75563	FYB1	SKAP2
O15117	P50552	FYB1	VASP
O15117	P42768	FYB1	WASP
P06241	P22681	FYN	CBL
P06241	P20963	FYN	CD3Z
P06241	P16410	FYN	CTLA4
P06241	O15117	FYN	FYB1
P06241	O15117	FYN	FYB1
P06241	Q13588	FYN	GRAP
P06241	Q14643	FYN	ITPR1
P06241	Q14643	FYN	ITPR1
P06241	Q13094	FYN	LCP2
P06241	Q9NWQ8	FYN	PHAG1
P06241	Q14289	FYN	FAK2
P06241	Q9Y3P8	FYN	SIT1
P06241	Q86WV1	FYN	SKAP1
P06241	Q86WV1	FYN	SKAP1
P06241	P43405	FYN	KSYK
P06241	Q6PIZ9	FYN	TRAT1
P06241	P42681	FYN	TXK
P06241	P42681	FYN	TXK
P06241	Q13432	FYN	U119A
P06241	P15498	FYN	VAV
P06241	P42768	FYN	WASP
P06241	P42768	FYN	WASP
P06241	P43403	FYN	ZAP70
Q9UQC2	O43561	GAB2	LAT
Q9UQC2	Q06124	GAB2	PTN11
Q9UQC2	P43403	GAB2	ZAP70
Q14161	Q14155	GIT2	ARHG7
Q14161	Q13153	GIT2	PAK1
Q13588	P06241	GRAP	FYN
Q13588	Q07666	GRAP	KHDR1
Q13588	O43561	GRAP	LAT
Q13588	P06239	GRAP	LCK
Q13588	P19174	GRAP	PLCG1
Q13588	P29353	GRAP	SHC1
Q13588	Q07889	GRAP	SOS1
O75791	O43561	GRAP2	LAT
O75791	Q8IWV1	GRAP2	LAX1
O75791	Q13094	GRAP2	LCP2
O75791	Q92918	GRAP2	M4K1
O75791	Q15464	GRAP2	SHB
P62993	P22681	GRB2	CBL
P62993	Q13191	GRB2	CBLB
P62993	P20963	GRB2	CD3Z
P62993	O60496	GRB2	DOK2
P62993	Q92835	GRB2	SHIP1
P62993	Q08881	GRB2	ITK
P62993	O43561	GRB2	LAT
P62993	Q8IWV1	GRB2	LAX1
P62993	Q92918	GRB2	M4K1
P62993	P27986	GRB2	P85A
P62993	O00459	GRB2	P85B
P62993	P19174	GRB2	PLCG1
P62993	Q14289	GRB2	FAK2
P62993	P29353	GRB2	SHC1
P62993	Q86WV1	GRB2	SKAP1
P62993	Q07889	GRB2	SOS1
P62993	Q07890	GRB2	SOS2
P62993	P43403	GRB2	ZAP70
Q9NSC5	P17676	HOME3	CEBPB
Q9Y6W8	O75144	ICOS	ICOSL
Q9Y6W8	P27986	ICOS	P85A
Q9Y6W8	O00459	ICOS	P85B
O75144	Q9Y6W8	ICOSL	ICOS
O14920	Q92918	IKKB	M4K1
O14920	P25963	IKKB	IKBA
Q92835	O60496	SHIP1	DOK2
Q92835	P62993	SHIP1	GRB2
Q92835	O43561	SHIP1	LAT
Q96J02	Q13233	ITCH	M3K1
Q08881	P62993	ITK	GRB2
Q08881	O43561	ITK	LAT
Q08881	Q13094	ITK	LCP2
Q08881	P19174	ITK	PLCG1
Q14643	P06241	ITPR1	FYN
P52333	P20963	JAK3	CD3Z
P05412	P01100	JUN	FOS
P05412	Q13469	JUN	NFAC2
Q07666	Q13588	KHDR1	GRAP
O43561	P01730	LAT	CD4
O43561	P01732	LAT	CD8A
O43561	O60496	LAT	DOK2
O43561	Q9UQC2	LAT	GAB2
O43561	Q13588	LAT	GRAP
O43561	O75791	LAT	GRAP2
O43561	P62993	LAT	GRB2
O43561	Q92835	LAT	SHIP1
O43561	Q13094	LAT	LCP2
O43561	Q92918	LAT	M4K1
O43561	P27986	LAT	P85A
O43561	O00459	LAT	P85B
O43561	P19174	LAT	PLCG1
O43561	Q15464	LAT	SHB
O43561	Q13239	LAT	SLAP1
O43561	P15498	LAT	VAV
Q8IWV1	O75791	LAX1	GRAP2
Q8IWV1	P62993	LAX1	GRB2
Q8IWV1	P27986	LAX1	P85A
Q8IWV1	O00459	LAX1	P85B
P06239	P20963	LCK	CD3Z
P06239	P01730	LCK	CD4
P06239	P01732	LCK	CD8A
P06239	P16410	LCK	CTLA4
P06239	Q12959	LCK	DLG1
P06239	Q9UQC2	LCK	GAB2
P06239	Q13588	LCK	GRAP
P06239	Q08881	LCK	ITK
P06239	Q8IWV1	LCK	LAX1
P06239	Q13094	LCK	LCP2
P06239	Q9H400	LCK	LIME1
P06239	Q9H400	LCK	LIME1
P06239	P15941	LCK	MUC1
P06239	P15941	LCK	MUC1
P06239	Q05397	LCK	FAK1
P06239	Q14289	LCK	FAK2
P06239	Q9HD43	LCK	PTPRH
P06239	Q9UQQ2	LCK	SH2B3
P06239	Q9NP31	LCK	SH22A
P06239	P78314	LCK	3BP2
P06239	Q9Y3P8	LCK	SIT1
P06239	Q86WV1	LCK	SKAP1
P06239	Q6PIZ9	LCK	TRAT1
P06239	Q13432	LCK	U119A
P06239	P15498	LCK	VAV
P06239	P43403	LCK	ZAP70
P06239	P43403	LCK	ZAP70
Q13094	O15117	LCP2	FYB1
Q13094	O75791	LCP2	GRAP2
Q13094	Q08881	LCP2	ITK
Q13094	O43561	LCP2	LAT
Q13094	P16333	LCP2	NCK1
Q13094	P19174	LCP2	PLCG1
Q13094	Q15464	LCP2	SHB
Q13094	P15498	LCP2	VAV
Q13094	Q9UKW4	LCP2	VAV3
Q13094	P42768	LCP2	WASP
Q13094	P63104	LCP2	1433Z
Q9H400	P06239	LIME1	LCK
P07948	Q86WV1	LYN	SKAP1
Q9UDY8	Q9Y4K3	MALT1	TRAF6
Q02750	P28482	MP2K1	MK01
Q02750	P28482	MP2K1	MK01
Q13233	Q96J02	M3K1	ITCH
Q99558	P41279	M3K14	M3K8
P41279	Q99558	M3K8	M3K14
Q92918	Q9BXL7	M4K1	CAR11
Q92918	Q9BXL7	M4K1	CAR11
Q92918	P46108	M4K1	CRK
Q92918	P46109	M4K1	CRKL
Q92918	Q9UJU6	M4K1	DBNL
Q92918	O75791	M4K1	GRAP2
Q92918	P62993	M4K1	GRB2
Q92918	O14920	M4K1	IKKB
Q92918	O43561	M4K1	LAT
Q92918	P16333	M4K1	NCK1
P28482	Q02750	MK01	MP2K1
Q16539	P15336	MK14	ATF2
Q16539	Q14765	MK14	STAT4
P45984	P05412	MK09	JUN
P15941	P35222	MUC1	CTNB1
P15941	P06239	MUC1	LCK
P15941	P43403	MUC1	ZAP70
P16333	P07766	NCK1	CD3E
P16333	O15117	NCK1	FYB1
P16333	Q13094	NCK1	LCP2
P16333	Q92918	NCK1	M4K1
P16333	Q13153	NCK1	PAK1
P16333	P15498	NCK1	VAV
P16333	P42768	NCK1	WASP
P19338	P07766	NUCL	CD3E
Q14511	P46108	CASL	CRK
Q14511	Q13905	CASL	RPGF1
Q8NET5	P43405	NFAM1	KSYK
Q8NET5	P43403	NFAM1	ZAP70
O95644	P18146	NFAC1	EGR1
O95644	Q13469	NFAC1	NFAC2
O95644	Q04206	NFAC1	TF65
Q13469	P18146	NFAC2	EGR1
Q13469	P01100	NFAC2	FOS
Q13469	P05412	NFAC2	JUN
Q13469	O95644	NFAC2	NFAC1
Q13469	P16298	NFAC2	PP2BB
Q13469	Q04206	NFAC2	TF65
Q9NWQ8	P06241	PHAG1	FYN
Q13153	Q15052	PAK1	ARHG6
Q13153	Q14155	PAK1	ARHG7
Q13153	Q14161	PAK1	GIT2
Q13153	P16333	PAK1	NCK1
P27986	P10747	P85A	CD28
P27986	P46108	P85A	CRK
P27986	P16410	P85A	CTLA4
P27986	P62993	P85A	GRB2
P27986	Q9Y6W8	P85A	ICOS
P27986	O43561	P85A	LAT
P27986	Q8IWV1	P85A	LAX1
P27986	O00459	P85A	P85B
P27986	Q6PIZ9	P85A	TRAT1
O00459	P10747	P85B	CD28
O00459	P46108	P85B	CRK
O00459	P16410	P85B	CTLA4
O00459	P62993	P85B	GRB2
O00459	Q9Y6W8	P85B	ICOS
O00459	O43561	P85B	LAT
O00459	Q8IWV1	P85B	LAX1
O00459	P27986	P85B	P85A
O00459	Q6PIZ9	P85B	TRAT1
P19174	Q13588	PLCG1	GRAP
P19174	P62993	PLCG1	GRB2
P19174	O43561	PLCG1	LAT
P19174	Q13094	PLCG1	LCP2
P19174	Q07889	PLCG1	SOS1
P19174	Q07890	PLCG1	SOS2
P19174	P43403	PLCG1	ZAP70
P16298	Q9Y6J0	PP2BB	CABIN
P16298	Q13469	PP2BB	NFAC2
P16298	Q13469	PP2BB	NFAC2
Q04759	P31749	KPCT	AKT1
Q04759	Q9NSE2	KPCT	CISH
Q04759	Q9UEW8	KPCT	STK39
Q04759	Q9UEW8	KPCT	STK39
Q04759	O43516	KPCT	WIPF1
Q9BZL6	Q8WUI4	KPCD2	HDAC7
O43586	P06729	PPIP1	CD2
O43586	Q9Y5K6	PPIP1	CD2AP
O43586	Q05209	PPIP1	PTN12
O43586	P42768	PPIP1	WASP
Q05397	P06239	FAK1	LCK
Q14289	P06241	FAK2	FYN
Q14289	P62993	FAK2	GRB2
Q14289	P06239	FAK2	LCK
Q14289	P49023	FAK2	PAXI
Q14289	Q8N5H7	FAK2	SH2D3
Q14289	P15498	FAK2	VAV
Q14289	P43403	FAK2	ZAP70
Q06124	Q9UQC2	PTN11	GAB2
Q06124	Q9Y3P8	PTN11	SIT1
Q05209	O43586	PTN12	PPIP1
Q05209	P42768	PTN12	WASP
Q05209	P42768	PTN12	WASP
Q9Y2R2	P22681	PTN22	CBL
P26045	P20963	PTN3	CD3Z
P26045	P20963	PTN3	CD3Z
P29350	P20963	PTN6	CD3Z
P29350	P06127	PTN6	CD5
P08575	Q99704	PTPRC	DOK1
P08575	Q86WV1	PTPRC	SKAP1
Q9HD43	P06239	PTPRH	LCK
Q9HD43	P06239	PTPRH	LCK
Q12913	O43561	PTPRJ	LAT
Q12913	P19174	PTPRJ	PLCG1
P49023	Q14289	PAXI	FAK2
P62834	Q7LDG7	RAP1A	GRP2
Q13905	Q14511	RPGF1	CASL
P20936	P43403	RASA1	ZAP70
O95267	Q86WV1	GRP1	SKAP1
Q7LDG7	P62834	GRP2	RAP1A
Q04206	P18146	TF65	EGR1
Q04206	O95644	TF65	NFAC1
Q04206	Q13469	TF65	NFAC2
O43353	O95999	RIPK2	BCL10
Q9NP31	P06239	SH22A	LCK
Q8N5H7	Q14289	SH2D3	FAK2
P78314	P06239	3BP2	LCK
P78314	P15498	3BP2	VAV
P78314	Q9UKW4	3BP2	VAV3
Q15464	O75791	SHB	GRAP2
Q15464	O43561	SHB	LAT
Q15464	Q13094	SHB	LCP2
Q15464	P15498	SHB	VAV
Q15464	P43403	SHB	ZAP70
P29353	P52566	SHC1	GDIR2
P29353	P20963	SHC1	CD3Z
P29353	Q13588	SHC1	GRAP
P29353	P62993	SHC1	GRB2
P29353	Q07889	SHC1	SOS1
P29353	P43403	SHC1	ZAP70
Q9Y3P8	Q06124	SIT1	PTN11
Q86WV1	P06241	SKAP1	FYN
Q86WV1	P62993	SKAP1	GRB2
Q86WV1	P06239	SKAP1	LCK
Q86WV1	P07948	SKAP1	LYN
Q86WV1	P08575	SKAP1	PTPRC
Q86WV1	O95267	SKAP1	GRP1
Q86WV1	P12931	SKAP1	SRC
O75563	O15117	SKAP2	FYB1
Q13239	P20963	SLAP1	CD3Z
Q13239	O43561	SLAP1	LAT
Q13239	P43405	SLAP1	KSYK
Q13239	P43403	SLAP1	ZAP70
Q9H6Q3	P22681	SLAP2	CBL
Q9H6Q3	P20963	SLAP2	CD3Z
Q9H6Q3	P43403	SLAP2	ZAP70
Q07889	Q13588	SOS1	GRAP
Q07889	P62993	SOS1	GRB2
Q07889	P19174	SOS1	PLCG1
Q07889	P29353	SOS1	SHC1
Q07889	P43403	SOS1	ZAP70
Q07890	P62993	SOS2	GRB2
Q07890	P19174	SOS2	PLCG1
P12931	Q86WV1	SRC	SKAP1
P42229	P20963	STA5A	CD3Z
P51692	P20963	STA5B	CD3Z
Q9UEW8	Q04759	STK39	KPCT
P43405	P22681	KSYK	CBL
P43405	Q13191	KSYK	CBLB
P43405	P51452	KSYK	DUS3
P43405	P06241	KSYK	FYN
P43405	Q8IWV1	KSYK	LAX1
