UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
P37023	P01137	ACVL1	TGFB1
P37023	P37173	ACVL1	TGFR2
Q9H1A4	Q9UM13	APC1	APC10
Q9H1A4	Q9UJX6	APC1	ANC2
Q9H1A4	Q9UJX5	APC1	APC4
Q9H1A4	Q9UJX4	APC1	APC5
Q9H1A4	Q9UJX3	APC1	APC7
Q9H1A4	Q13042	APC1	CDC16
Q9H1A4	Q9UJX2	APC1	CDC23
Q9H1A4	P30260	APC1	CDC27
Q9H1A4	Q9UM11	APC1	FZR1
Q9UM13	Q9H1A4	APC10	APC1
Q9UM13	Q9UJX6	APC10	ANC2
Q9UM13	Q9UJX5	APC10	APC4
Q9UM13	Q9UJX4	APC10	APC5
Q9UM13	Q9UJX3	APC10	APC7
Q9UM13	Q13042	APC10	CDC16
Q9UM13	Q9UJX2	APC10	CDC23
Q9UM13	P30260	APC10	CDC27
Q9UM13	Q9UM11	APC10	FZR1
Q9UJX6	Q9H1A4	ANC2	APC1
Q9UJX6	Q9UM13	ANC2	APC10
Q9UJX6	Q9UJX5	ANC2	APC4
Q9UJX6	Q9UJX4	ANC2	APC5
Q9UJX6	Q9UJX3	ANC2	APC7
Q9UJX6	Q13042	ANC2	CDC16
Q9UJX6	Q9UJX2	ANC2	CDC23
Q9UJX6	P30260	ANC2	CDC27
Q9UJX6	Q9UM11	ANC2	FZR1
Q9UJX5	Q9H1A4	APC4	APC1
Q9UJX5	Q9UM13	APC4	APC10
Q9UJX5	Q9UJX6	APC4	ANC2
Q9UJX5	Q9UJX4	APC4	APC5
Q9UJX5	Q9UJX3	APC4	APC7
Q9UJX5	Q13042	APC4	CDC16
Q9UJX5	Q9UJX2	APC4	CDC23
Q9UJX5	P30260	APC4	CDC27
Q9UJX5	Q9UM11	APC4	FZR1
Q9UJX4	Q9H1A4	APC5	APC1
Q9UJX4	Q9UM13	APC5	APC10
Q9UJX4	Q9UJX6	APC5	ANC2
Q9UJX4	Q9UJX5	APC5	APC4
Q9UJX4	Q9UJX3	APC5	APC7
Q9UJX4	Q13042	APC5	CDC16
Q9UJX4	Q9UJX2	APC5	CDC23
Q9UJX4	P30260	APC5	CDC27
Q9UJX4	Q9UM11	APC5	FZR1
Q9UJX3	Q9H1A4	APC7	APC1
Q9UJX3	Q9UM13	APC7	APC10
Q9UJX3	Q9UJX6	APC7	ANC2
Q9UJX3	Q9UJX5	APC7	APC4
Q9UJX3	Q9UJX4	APC7	APC5
Q9UJX3	Q13042	APC7	CDC16
Q9UJX3	Q9UJX2	APC7	CDC23
Q9UJX3	P30260	APC7	CDC27
Q9UJX3	Q9UM11	APC7	FZR1
P63010	P36897	AP2B1	TGFR1
P63010	P37173	AP2B1	TGFR2
P10275	P84022	ANDR	SMAD3
P32121	Q03167	ARRB2	TGBR3
P15336	P84022	ATF2	SMAD3
P15336	Q13485	ATF2	SMAD4
P18847	P84022	ATF3	SMAD3
O15169	Q15796	AXIN1	SMAD2
O15169	P84022	AXIN1	SMAD3
O15169	P36897	AXIN1	TGFR1
Q9Y2T1	P84022	AXIN2	SMAD3
P56945	P46108	BCAR1	CRK
P56945	P84022	BCAR1	SMAD3
P38398	P84022	BRCA1	SMAD3
Q9Y297	P84022	FBW1A	SMAD3
Q9Y297	P84022	FBW1A	SMAD3
Q9Y297	Q13485	FBW1A	SMAD4
Q9Y297	Q13485	FBW1A	SMAD4
Q9UQM7	Q15796	KCC2A	SMAD2
Q13554	Q15796	KCC2B	SMAD2
Q13557	Q15796	KCC2D	SMAD2
Q13555	Q15796	KCC2G	SMAD2
Q03135	P61586	CAV1	RHOA
Q03135	P36897	CAV1	TGFR1
O95067	P28340	CCNB2	DPOD1
O95067	P37173	CCNB2	TGFR2
P24385	P24941	CCND1	CDK2
P24385	P38936	CCND1	CDN1A
P24385	P06400	CCND1	RB
P24864	P24941	CCNE1	CDK2
P24864	P28749	CCNE1	RBL1
P16070	P36897	CD44	TGFR1
Q13042	Q9H1A4	CDC16	APC1
Q13042	Q9UM13	CDC16	APC10
Q13042	Q9UJX6	CDC16	ANC2
Q13042	Q9UJX5	CDC16	APC4
Q13042	Q9UJX4	CDC16	APC5
Q13042	Q9UJX3	CDC16	APC7
Q13042	Q9UJX2	CDC16	CDC23
Q13042	P30260	CDC16	CDC27
Q13042	Q9UM11	CDC16	FZR1
Q13042	P12757	CDC16	SKIL
Q13042	Q15796	CDC16	SMAD2
Q13042	P84022	CDC16	SMAD3
Q9UJX2	Q9H1A4	CDC23	APC1
Q9UJX2	Q9UM13	CDC23	APC10
Q9UJX2	Q9UJX6	CDC23	ANC2
Q9UJX2	Q9UJX5	CDC23	APC4
Q9UJX2	Q9UJX4	CDC23	APC5
Q9UJX2	Q9UJX3	CDC23	APC7
Q9UJX2	Q13042	CDC23	CDC16
Q9UJX2	P30260	CDC23	CDC27
Q9UJX2	Q9UM11	CDC23	FZR1
P30304	Q13464	MPIP1	ROCK1
P30260	Q9H1A4	CDC27	APC1
P30260	Q9UM13	CDC27	APC10
P30260	Q9UJX6	CDC27	ANC2
P30260	Q9UJX5	CDC27	APC4
P30260	Q9UJX4	CDC27	APC5
P30260	Q9UJX3	CDC27	APC7
P30260	Q13042	CDC27	CDC16
P30260	Q9UJX2	CDC27	CDC23
P30260	Q9UM11	CDC27	FZR1
P30260	P12757	CDC27	SKIL
P30260	Q15796	CDC27	SMAD2
P30260	P84022	CDC27	SMAD3
P24941	P24385	CDK2	CCND1
P24941	P24864	CDK2	CCNE1
P24941	P38936	CDK2	CDN1A
P24941	P06400	CDK2	RB
P24941	P06400	CDK2	RB
P24941	P28749	CDK2	RBL1
P11802	P06400	CDK4	RB
Q00534	P06400	CDK6	RB
P38936	P24385	CDN1A	CCND1
P38936	P24941	CDN1A	CDK2
Q99966	Q92793	CITE1	CBP
Q99966	Q09472	CITE1	EP300
Q99966	P11142	CITE1	HSP7C
Q99966	Q13485	CITE1	SMAD4
Q92905	Q13485	CSN5	SMAD4
Q92905	Q13485	CSN5	SMAD4
Q92905	O15105	CSN5	SMAD7
Q92793	Q99966	CBP	CITE1
Q92793	Q15796	CBP	SMAD2
Q92793	P84022	CBP	SMAD3
Q92793	P84022	CBP	SMAD3
Q92793	Q13485	CBP	SMAD4
Q92793	Q8TAD8	CBP	SNIP1
P46108	P56945	CRK	BCAR1
P78368	P84022	KC1G2	SMAD3
P49711	P84022	CTCF	SMAD3
P49711	Q13485	CTCF	SMAD4
P35222	Q9UJU2	CTNB1	LEF1
P35222	P42336	CTNB1	PK3CA
P35222	P84022	CTNB1	SMAD3
P35222	Q13485	CTNB1	SMAD4
P35222	O15105	CTNB1	SMAD7
P35222	P37173	CTNB1	TGFR2
Q13616	P84022	CUL1	SMAD3
Q13616	P84022	CUL1	SMAD3
P98082	O43318	DAB2	M3K7
P98082	Q15796	DAB2	SMAD2
P98082	P84022	DAB2	SMAD3
P98082	P36897	DAB2	TGFR1
P98082	P37173	DAB2	TGFR2
Q9UER7	P37173	DAXX	TGFR2
Q9NPI6	Q13485	DCP1A	SMAD4
P17844	P84022	DDX5	SMAD3
O14640	Q15796	DVL1	SMAD2
O14640	P84022	DVL1	SMAD3
O14640	Q13485	DVL1	SMAD4
O14640	O15105	DVL1	SMAD7
O14576	Q9NP97	DC1I1	DLRB1
Q9NP97	O14576	DLRB1	DC1I1
Q9NP97	Q15796	DLRB1	SMAD2
Q9NP97	P37173	DLRB1	TGFR2
Q8TF09	P84022	DLRB2	SMAD3
Q8TF09	P37173	DLRB2	TGFR2
Q16254	Q15329	E2F4	E2F5
Q16254	P06400	E2F4	RB
Q16254	P28749	E2F4	RBL1
Q16254	Q08999	E2F4	RBL2
Q16254	P84022	E2F4	SMAD3
Q16254	Q13485	E2F4	SMAD4
Q16254	Q14186	E2F4	TFDP1
Q16254	Q14188	E2F4	TFDP2
Q15329	Q16254	E2F5	E2F4
Q15329	P28749	E2F5	RBL1
Q15329	Q08999	E2F5	RBL2
Q15329	P84022	E2F5	SMAD3
Q15329	Q13485	E2F5	SMAD4
Q15329	Q14186	E2F5	TFDP1
Q8N6I1	Q15796	EID2	SMAD2
Q8N6I1	P84022	EID2	SMAD3
Q8N6I1	Q13485	EID2	SMAD4
Q13347	P36897	EIF3I	TGFR1
Q13347	P37173	EIF3I	TGFR2
P17813	P36897	EGLN	TGFR1
P17813	P37173	EGLN	TGFR2
Q09472	Q99966	EP300	CITE1
Q09472	Q15788	EP300	NCOA1
Q09472	P12755	EP300	SKI
Q09472	P12757	EP300	SKIL
Q09472	Q15796	EP300	SMAD2
Q09472	Q15796	EP300	SMAD2
Q09472	P84022	EP300	SMAD3
Q09472	P84022	EP300	SMAD3
Q09472	Q13485	EP300	SMAD4
Q09472	O15105	EP300	SMAD7
Q09472	Q8TAD8	EP300	SNIP1
Q96RT1	Q15796	ERBIN	SMAD2
Q96RT1	P84022	ERBIN	SMAD3
Q96RT1	Q13485	ERBIN	SMAD4
Q96RT1	O15105	ERBIN	SMAD7
P03372	Q15796	ESR1	SMAD2
P03372	P84022	ESR1	SMAD3
P03372	Q13485	ESR1	SMAD4
P14921	P84022	ETS1	SMAD3
P14921	P08047	ETS1	SP1
Q01844	Q9Y3F4	EWS	STRAP
P62942	P36897	FKB1A	TGFR1
P49354	P36897	FNTA	TGFR1
P01100	P05412	FOS	JUN
P01100	P84022	FOS	SMAD3
P01100	Q13485	FOS	SMAD4
P53539	P17535	FOSB	JUND
P53539	P84022	FOSB	SMAD3
P53539	Q13485	FOSB	SMAD4
P55316	O75593	FOXG1	FOXH1
O75593	P55316	FOXH1	FOXG1
O75593	Q15796	FOXH1	SMAD2
O75593	P84022	FOXH1	SMAD3
O75593	Q13485	FOXH1	SMAD4
O75593	Q15583	FOXH1	TGIF1
Q12778	P84022	FOXO1	SMAD3
Q12778	Q13485	FOXO1	SMAD4
O43524	Q15796	FOXO3	SMAD2
O43524	P84022	FOXO3	SMAD3
O43524	Q13485	FOXO3	SMAD4
P98177	P84022	FOXO4	SMAD3
P98177	Q13485	FOXO4	SMAD4
Q9UM11	Q9H1A4	FZR1	APC1
Q9UM11	Q9UM13	FZR1	APC10
Q9UM11	Q9UJX6	FZR1	ANC2
Q9UM11	Q9UJX5	FZR1	APC4
Q9UM11	Q9UJX4	FZR1	APC5
Q9UM11	Q9UJX3	FZR1	APC7
Q9UM11	Q13042	FZR1	CDC16
Q9UM11	Q9UJX2	FZR1	CDC23
Q9UM11	P30260	FZR1	CDC27
Q9UM11	P12757	FZR1	SKIL
O14908	Q03167	GIPC1	TGBR3
P62993	P29353	GRB2	SHC1
Q13547	Q08999	HDAC1	RBL2
Q13547	Q15796	HDAC1	SMAD2
Q13547	Q13485	HDAC1	SMAD4
Q13547	Q15583	HDAC1	TGIF1
O14964	Q15796	HGS	SMAD2
O14964	P84022	HGS	SMAD3
O14964	O95405	HGS	ZFYV9
P41235	P84022	HNF4A	SMAD3
P41235	Q13485	HNF4A	SMAD4
P31269	Q13485	HXA9	SMAD4
P11142	Q99966	HSP7C	CITE1
Q9H160	P12757	ING2	SKIL
Q9H160	Q15796	ING2	SMAD2
Q8IU81	Q15583	I2BP1	TGIF1
Q96J02	Q13118	ITCH	KLF10
Q96J02	O15105	ITCH	SMAD7
Q96J02	O15105	ITCH	SMAD7
P05556	P37173	ITB1	TGFR2
P05106	P37173	ITB3	TGFR2
P05412	P01100	JUN	FOS
P05412	Q15796	JUN	SMAD2
P05412	P84022	JUN	SMAD3
P05412	Q13485	JUN	SMAD4
P05412	Q15583	JUN	TGIF1
P17275	P84022	JUNB	SMAD3
P17275	Q13485	JUNB	SMAD4
P17535	P53539	JUND	FOSB
P17535	P84022	JUND	SMAD3
P17535	Q13485	JUND	SMAD4
Q92831	Q15796	KAT2B	SMAD2
Q92831	Q15796	KAT2B	SMAD2
Q92831	P84022	KAT2B	SMAD3
Q14974	P84022	IMB1	SMAD3
Q9UJU2	P35222	LEF1	CTNB1
Q9UJU2	Q15796	LEF1	SMAD2
Q9UJU2	P84022	LEF1	SMAD3
Q9UJU2	Q13485	LEF1	SMAD4
Q9UJU2	O15105	LEF1	SMAD7
P46734	Q16539	MP2K3	MK14
P46734	O15105	MP2K3	SMAD7
P52564	Q16539	MP2K6	MK14
P52564	O15105	MP2K6	SMAD7
O43318	P98082	M3K7	DAB2
O43318	Q92918	M3K7	M4K1
O43318	Q16539	M3K7	MK14
O43318	P67775	M3K7	PP2AA
O43318	O15105	M3K7	SMAD7
O43318	Q15750	M3K7	TAB1
O43318	Q9Y4K3	M3K7	TRAF6
Q92918	O43318	M4K1	M3K7
Q16539	P15336	MK14	ATF2
Q16539	Q06413	MK14	MEF2C
Q16539	O75582	MK14	KS6A5
Q16539	P84022	MK14	SMAD3
Q16539	O15105	MK14	SMAD7
P45983	P05412	MK08	JUN
P45983	P84022	MK08	SMAD3
Q96RN5	Q9GZV5	MED15	WWTR1
Q02078	Q15796	MEF2A	SMAD2
Q06413	Q15796	MEF2C	SMAD2
P01106	Q15796	MYC	SMAD2
P01106	P84022	MYC	SMAD3
Q15788	Q09472	NCOA1	EP300
Q96PU5	P12757	NED4L	SKIL
Q96PU5	Q15796	NED4L	SMAD2
Q96PU5	Q15796	NED4L	SMAD2
Q96PU5	P84022	NED4L	SMAD3
Q96PU5	O15105	NED4L	SMAD7
Q96PU5	P36897	NED4L	TGFR1
P23511	P25208	NFYA	NFYB
P23511	Q13952	NFYA	NFYC
P25208	P23511	NFYB	NFYA
P25208	Q13952	NFYB	NFYC
Q13952	P23511	NFYC	NFYA
Q13952	P25208	NFYC	NFYB
Q13952	Q15796	NFYC	SMAD2
Q13952	P84022	NFYC	SMAD3
P15531	Q9Y3F4	NDKA	STRAP
P49790	Q15796	NU153	SMAD2
P49790	P84022	NU153	SMAD3
P35658	Q15796	NU214	SMAD2
P35658	P84022	NU214	SMAD3
P35658	Q13485	NU214	SMAD4
Q8TAK6	P84022	OLIG1	SMAD3
Q8TAK6	Q13485	OLIG1	SMAD4
Q8TEW0	Q15796	PARD3	SMAD2
Q8TEW0	P84022	PARD3	SMAD3
Q8TEW0	Q13485	PARD3	SMAD4
Q8TEW0	O15105	PARD3	SMAD7
Q9NPB6	Q9HCE7	PAR6A	SMUF1
Q9NPB6	P36897	PAR6A	TGFR1
Q15118	P84022	PDK1	SMAD3
Q15118	Q13485	PDK1	SMAD4
