UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
O96019	Q01201	ACL6A	RELB
O43823	Q04206	AKAP8	TF65
P31749	O15111	AKT1	IKKA
P31749	Q09472	AKT1	EP300
P31749	Q04206	AKT1	TF65
P31751	O15111	AKT2	IKKA
P05186	Q13114	PPBT	TRAF3
O14727	P55211	APAF	CASP9
O95429	P19438	BAG4	TNR1A
Q07812	P55957	BAX	BID
Q07817	P60602	B2CL1	ROMO1
P20749	P19838	BCL3	NFKB1
Q4VC05	Q01201	BCL7A	RELB
P55957	Q07812	BID	BAX
Q13490	Q13489	BIRC2	BIRC3
Q13490	Q92851	BIRC2	CASPA
Q13490	Q14790	BIRC2	CASP8
Q13490	O15519	BIRC2	CFLAR
Q13490	Q9NR28	BIRC2	DBLOH
Q13490	Q13158	BIRC2	FADD
Q13490	Q9Y6K9	BIRC2	NEMO
Q13490	Q9Y6K9	BIRC2	NEMO
Q13490	Q13546	BIRC2	RIPK1
Q13490	P19438	BIRC2	TNR1A
Q13490	Q15628	BIRC2	TRADD
Q13490	Q13077	BIRC2	TRAF1
Q13490	Q12933	BIRC2	TRAF2
Q13490	Q12933	BIRC2	TRAF2
Q13489	Q13490	BIRC3	BIRC2
Q13489	Q9NR28	BIRC3	DBLOH
Q9Y297	Q13616	FBW1A	CUL1
Q9Y297	Q9UKB1	FBW1A	FBW1B
Q9Y297	P19838	FBW1A	NFKB1
Q9Y297	P25963	FBW1A	IKBA
Q9Y297	P25963	FBW1A	IKBA
Q9Y297	Q15653	FBW1A	IKBB
Q9Y297	Q15653	FBW1A	IKBB
Q9Y297	O00221	FBW1A	IKBE
Q9Y297	Q13200	FBW1A	PSMD2
Q9Y297	Q14644	FBW1A	RASA3
Q9Y297	P63208	FBW1A	SKP1
Q9Y297	Q9UHD2	FBW1A	TBK1
Q9Y297	P01375	FBW1A	TNFA
Q9Y297	P19438	FBW1A	TNR1A
Q9Y297	P20333	FBW1A	TNR1B
Q9Y297	Q15628	FBW1A	TRADD
Q9Y297	Q12933	FBW1A	TRAF2
Q92851	Q13490	CASPA	BIRC2
Q92851	Q14790	CASPA	CASP8
Q92851	O15519	CASPA	CFLAR
Q92851	Q13158	CASPA	FADD
Q92851	Q13546	CASPA	RIPK1
Q92851	Q15628	CASPA	TRADD
Q92851	Q13077	CASPA	TRAF1
Q92851	Q12933	CASPA	TRAF2
