UniProtID	Gene_name
Q13200	PSMD2
P33993	MCM7
Q05397	FAK1
A7MCY6	TBKB1
Q8TAQ2	SMRC2
O14654	IRS4
Q03135	CAV1
P51665	PSMD7
Q6Q0C0	TRAF7
Q16584	M3K11
P51003	PAPOA
Q00653	NFKB2
O95163	ELP1
Q99460	PSMD1
Q8N5C8	TAB3
Q8IV45	UN5CL
O75530	EED
Q13114	TRAF3
Q14644	RASA3
Q15750	TAB1
P62277	RS13
P62258	1433E
Q04864	REL
Q9Y2U5	M3K2
Q92905	CSN5
Q9Y6K9	NEMO
Q14164	IKKE
Q9UN86	G3BP2
Q13576	IQGA2
O15027	SC16A
O60271	JIP4
Q96CG3	TIFA
P06400	RB
Q8NFZ5	TNIP2
P04792	HSPB1
P27348	1433T
Q15653	IKBB
P52292	IMA1
Q99683	M3K5
P35998	PRS7
O14733	MP2K7
P19793	RXRA
P49427	UB2R1
Q9NY59	NSMA2
O14727	APAF
Q9Y572	RIPK3
Q14790	CASP8
P10599	THIO
P60602	ROMO1
Q02878	RL6
Q9UHD2	TBK1
O76080	ZFAN5
O95429	BAG4
P06737	PYGL
Q9NYJ8	TAB2
P63244	RACK1
P42575	CASP2
Q16543	CDC37
Q12851	M4K2
Q13163	MP2K5
Q9NR28	DBLOH
P17252	KPCA
P63279	UBC9
Q9Y6X2	PIAS3
P51532	SMCA4
Q16695	H31T
O95602	RPA1
P31751	AKT2
O00463	TRAF5
P42574	CASP3
Q9BUZ4	TRAF4
Q92793	CBP
Q4VC05	BCL7A
Q92888	ARHG1
O00505	IMA4
O00232	PSD12
Q07817	B2CL1
P20749	BCL3
P42224	STAT1
P21333	FLNA
P43405	KSYK
Q06124	PTN11
Q8WUF5	IASPP
O43318	M3K7
P21580	TNAP3
Q13547	HDAC1
Q07890	SOS2
Q92769	HDAC2
P24844	MYL9
O00571	DDX3X
P46199	IF2M
Q9Y6Q6	TNR11
Q9UHV9	PFD2
Q9BYH8	IKBZ
Q92636	FAN
P29590	PML
P01375	TNFA
Q96RU7	TRIB3
Q13616	CUL1
Q12824	SNF5
Q13480	GAB1
Q9GZU2	PEG3
Q86VP1	TAXB1
P61077	UB2D3
Q9UJF2	NGAP
Q13490	BIRC2
P23508	CRCM
Q12933	TRAF2
P68400	CSK21
Q9BXW9	FACD2
P17980	PRS6A
Q969G3	SMCE1
Q92844	TANK
P62875	RPAB5
Q05513	KPCZ
P15104	GLNA
O75582	KS6A5
P51787	KCNQ1
Q5VVH5	IKBP1
O43823	AKAP8
P13498	CY24A
Q92922	SMRC1
Q04917	1433F
Q96BH1	RNF25
Q13077	TRAF1
Q7KZI7	MARK2
O15111	IKKA
Q9UBN7	HDAC6
Q96Q05	TPPC9
P78347	GTF2I
P31946	1433B
Q16539	MK14
O00221	IKBE
Q15008	PSMD6
P62888	RL30
P63208	SKP1
P07900	HS90A
Q9NYR9	KBRS2
Q01201	RELB
Q9UNM6	PSD13
P55210	CASP7
P31749	AKT1
O15519	CFLAR
Q8N668	COMD1
O60477	BRNP1
Q13158	FADD
Q13546	RIPK1
P78560	CRADD
Q13233	M3K1
Q969H0	FBXW7
P52434	RPAB3
O75604	UBP2
Q9H9Y6	RPA2
Q99704	DOK1
P63165	SUMO1
Q15628	TRADD
P62837	UB2D2
Q8TEL6	TP4AP
P41279	M3K8
P23443	KS6B1
P55957	BID
O43242	PSMD3
P62917	RL8
P25963	IKBA
P02511	CRYAB
P40222	TXLNA
Q92851	CASPA
O43663	PRC1
P62191	PRS4
Q9H3M7	TXNIP
Q8WZ73	RFFL
Q9UKB1	FBW1B
Q9Y4K3	TRAF6
O00743	PPP6
Q13451	FKBP5
Q12931	TRAP1
Q16512	PKN1
P63104	1433Z
P19438	TNR1A
P08238	HS90B
P61981	1433G
Q9GZS1	RPA49
P62280	RS11
P55211	CASP9
O15160	RPAC1
Q13489	BIRC3
Q07889	SOS1
P42704	LPPRC
P16278	BGAL
Q02750	MP2K1
P05186	PPBT
O60684	IMA7
P49116	NR2C2
P45983	MK08
Q8WXG6	MADD
P35606	COPB2
P67775	PP2AA
O60356	NUPR1
P45984	MK09
P98170	XIAP
Q99759	M3K3
Q96MN2	NALP4
P28074	PSB5
P60510	PP4C
P50750	CDK9
Q99558	M3K14
Q969G6	RIFK
P28908	TNR8
P45985	MP2K4
Q9UNS2	CSN3
P22087	FBRL
Q86UP2	KTN1
O14920	IKKB
Q92896	GSLG1
Q16342	PDCD2
Q92785	REQU
Q13049	TRI32
O96019	ACL6A
Q9UNN5	FAF1
Q07812	BAX
Q9NYS0	KBRS1
Q15746	MYLK
Q09472	EP300
Q6GQQ9	OTU7B
P20333	TNR1B
P62993	GRB2
P11142	HSP7C
P51784	UBP11
P61962	DCAF7
Q9Y297	FBW1A
P12931	SRC
O60563	CCNT1
P27986	P85A
P36578	RL4
P33992	MCM5
Q04206	TF65
P19838	NFKB1
