UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
Q13490	Q9NP84	BIRC2	TNR12
Q13490	Q12933	BIRC2	TRAF2
Q14790	Q13158	CASP8	FADD
Q14790	Q13546	CASP8	RIPK1
Q86VB7	O43508	C163A	TNF12
Q13158	Q14790	FADD	CASP8
Q13158	Q13546	FADD	RIPK1
Q13547	Q04206	HDAC1	TF65
Q00653	Q01201	NFKB2	RELB
P63000	Q9NP84	RAC1	TNR12
Q04206	Q13547	TF65	HDAC1
Q01201	Q00653	RELB	NFKB2
Q13546	Q14790	RIPK1	CASP8
Q13546	Q13158	RIPK1	FADD
Q9NP84	Q13490	TNR12	BIRC2
Q9NP84	P63000	TNR12	RAC1
Q9NP84	O43508	TNR12	TNF12
Q9NP84	Q13077	TNR12	TRAF1
Q9NP84	Q12933	TNR12	TRAF2
Q9NP84	Q13114	TNR12	TRAF3
Q9NP84	O00463	TNR12	TRAF5
Q93038	O43508	TNR25	TNF12
O43508	Q86VB7	TNF12	C163A
O43508	Q9NP84	TNF12	TNR12
O43508	Q93038	TNF12	TNR25
Q13077	Q9NP84	TRAF1	TNR12
Q12933	Q13490	TRAF2	BIRC2
Q12933	Q9NP84	TRAF2	TNR12
Q13114	Q9NP84	TRAF3	TNR12
O00463	Q9NP84	TRAF5	TNR12
