UniProtID	Gene_name
Q92837	FRAT1
O14640	DVL1
O60353	FZD6
O75581	LRP6
Q15047	SETB1
Q96MU8	KREM1
Q9UD71	PPR1B
Q01974	ROR2
O00755	WNT7A
O96014	WNT11
Q2MKA7	RSPO1
P49674	KC1E
Q9NQB0	TF7L2
Q155Q3	DIXC1
Q9H461	FZD8
Q00534	CDK6
P04628	WNT1
P17252	KPCA
Q92765	SFRP3
O94907	DKK1
O75084	FZD7
P12830	CADH1
P32121	ARRB2
Q6FHJ7	SFRP4
Q9Y5W5	WIF1
Q9ULV1	FZD4
P09544	WNT2
O15169	AXIN1
O00144	FZD9
Q9Y6R4	M3K4
P19022	CADH2
Q9UBE8	NLK
Q14696	MESD
Q9Y2T1	AXIN2
P49407	ARRB1
Q02962	PAX2
O75197	LRP5
P62136	PP1A
O00512	BCL9
Q92997	DVL3
Q9NPG1	FZD3
P49840	GSK3A
Q9UJU2	LEF1
Q9UEF7	KLOT
P35222	CTNB1
Q13418	ILK
Q15797	SMAD1
Q7KZI7	MARK2
P25054	APC
O75474	FRAT2
P31946	1433B
Q13363	CTBP1
P34925	RYK
O00570	SOX1
P31749	AKT1
P05129	KPCG
Q13233	M3K1
Q13469	NFAC2
O14904	WNT9A
P24385	CCND1
P36544	ACHA7
P63000	RAC1
P56704	WNT3A
P61586	RHOA
Q9NR80	ARHG4
Q14332	FZD2
Q9Y6F9	WNT6
P56703	WNT3
Q9BXY4	RSPO3
Q9Y4D1	DAAM1
P15884	ITF2
P56545	CTBP2
Q14397	GCKR
P45983	MK08
Q13467	FZD5
P67775	PP2AA
P51654	GPC3
P49841	GSK3B
P05771	KPCB
Q13526	PIN1
P56706	WNT7B
P56705	WNT4
Q9P2D1	CHD7
Q8N474	SFRP1
P45985	MP2K4
P37231	PPARG
Q9ULW2	FZD10
Q9H1J7	WNT5B
O14905	WNT9B
P15923	TFE2
P14923	PLAK
P17612	KAPCA
O14641	DVL2
P48729	KC1A
Q9BTU6	P4K2A
O14986	PI51B
Q9UP38	FZD1
P98082	DAB2
Q07954	LRP1
Q01973	ROR1
Q9Y297	FBW1A
Q96HF1	SFRP2
O14745	NHRF1
P41221	WNT5A
Q6UXX9	RSPO2
P48730	KC1D
