UniProtID_1	UniProtID_2	Gene_name_1	Gene_name_2
Q08117	P10275	TLE5	ANDR
P35869	P10275	AHR	ANDR
P31749	Q9UKG1	AKT1	DP13A
P31749	P10275	AKT1	ANDR
P31749	P10275	AKT1	ANDR
Q9UKG1	P31749	DP13A	AKT1
Q9UKG1	P10275	DP13A	ANDR
P10275	Q08117	ANDR	TLE5
P10275	P35869	ANDR	AHR
P10275	P31749	ANDR	AKT1
P10275	Q9UKG1	ANDR	DP13A
P10275	P27540	ANDR	ARNT
P10275	P15336	ANDR	ATF2
P10275	Q99933	ANDR	BAG1
P10275	P38398	ANDR	BRCA1
P10275	P27797	ANDR	CALR
P10275	Q03135	ANDR	CAV1
P10275	P24385	ANDR	CCND1
P10275	P30281	ANDR	CCND3
P10275	P24864	ANDR	CCNE1
P10275	P51946	ANDR	CCNH
P10275	P30304	ANDR	MPIP1
P10275	P30305	ANDR	MPIP2
P10275	Q16543	ANDR	CDC37
P10275	P21127	ANDR	CD11B
P10275	P50613	ANDR	CDK7
P10275	P50750	ANDR	CDK9
P10275	P49715	ANDR	CEBPA
P10275	P10606	ANDR	COX5B
P10275	P16220	ANDR	CREB1
P10275	Q92793	ANDR	CBP
P10275	P35222	ANDR	CTNB1
P10275	O43293	ANDR	DAPK3
P10275	Q9UER7	ANDR	DAXX
P10275	O60477	ANDR	BRNP1
P10275	P11182	ANDR	ODB2
P10275	P20711	ANDR	DDC
P10275	P17844	ANDR	DDX5
P10275	Q5THR3	ANDR	EFCB6
P10275	P00533	ANDR	EGFR
P10275	P18074	ANDR	ERCC2
P10275	P19447	ANDR	ERCC3
P10275	P03372	ANDR	ESR1
P10275	P41161	ANDR	ETV5
P10275	Q14192	ANDR	FHL2
P10275	Q02790	ANDR	FKBP4
P10275	P21333	ANDR	FLNA
P10275	P55317	ANDR	FOXA1
P10275	Q12778	ANDR	FOXO1
P10275	P04406	ANDR	G3P
P10275	P63244	ANDR	RACK1
P10275	P49841	ANDR	GSK3B
P10275	P06396	ANDR	GELS
P10275	P35269	ANDR	T2FA
P10275	P13984	ANDR	T2FB
P10275	P32780	ANDR	TF2H1
P10275	Q13888	ANDR	TF2H2
P10275	Q13889	ANDR	TF2H3
P10275	Q92759	ANDR	TF2H4
P10275	Q13547	ANDR	HDAC1
P10275	Q8WUI4	ANDR	HDAC7
P10275	Q9H422	ANDR	HIPK3
P10275	P07900	ANDR	HS90A
P10275	P14625	ANDR	ENPL
P10275	P34932	ANDR	HSP74
P10275	P11021	ANDR	BIP
P10275	P11142	ANDR	HSP7C
P10275	P04792	ANDR	HSPB1
P10275	P40189	ANDR	IL6RB
P10275	P05412	ANDR	JUN
P10275	Q92831	ANDR	KAT2B
P10275	O95251	ANDR	KAT7
P10275	O60341	ANDR	KDM1A
P10275	Q9Y4C1	ANDR	KDM3A
P10275	Q9H3R0	ANDR	KDM4C
P10275	O43504	ANDR	LTOR5
P10275	O60711	ANDR	LPXN
P10275	P43364	ANDR	MAGAB
P10275	Q00987	ANDR	MDM2
P10275	P51948	ANDR	MAT1
P10275	Q15788	ANDR	NCOA1
P10275	Q15596	ANDR	NCOA2
P10275	Q9Y6Q9	ANDR	NCOA3
P10275	Q13772	ANDR	NCOA4
P10275	O75376	ANDR	NCOR1
P10275	Q9Y618	ANDR	NCOR2
P10275	Q15233	ANDR	NONO
P10275	Q15466	ANDR	NR0B2
P10275	P13056	ANDR	NR2C1
P10275	P49116	ANDR	NR2C2
P10275	P04150	ANDR	GCR
P10275	P48552	ANDR	NRIP1
P10275	Q96L73	ANDR	NSD1
P10275	Q9UQ80	ANDR	PA2G4
P10275	Q9NQU5	ANDR	PAK6
P10275	Q99497	ANDR	PARK7
P10275	P09874	ANDR	PARP1
P10275	Q9HBE1	ANDR	PATZ1
P10275	Q8IZL8	ANDR	PELP1
P10275	O75925	ANDR	PIAS1
P10275	O75928	ANDR	PIAS2
P10275	Q9Y6X2	ANDR	PIAS3
P10275	Q8N2W9	ANDR	PIAS4
P10275	P27986	ANDR	P85A
P10275	Q9UM63	ANDR	PLAL1
P10275	Q12796	ANDR	PNRC1
